Challenge Name,Category,Solved/Attempted by,Solve time
alles21-sanity,web,Az3z3l,2021-09-03 21:32:10.351000
alles21-fomu,reverse,"fugitive, imm0rt4l_5t4rk, silverf3lix, bl4ck_Widw",2021-09-04 22:47:26.462000
alles21-pyimplant,misc,f4lc0n,2021-09-03 22:43:21.356000
alles21-chat,web,"Az3z3l, yadhu, Sayooj B Kumar, Aneesh, Rohit Narayanan M, Sk4d00.sh, Cap-k, a3x3k",Nil
alles21-boomer,crypto,"Vishvesh, careless_finch, 2TAP, Pavani Poluru, Abhishek Bharadwaj, Rithvik, V0ld3m0rt, ph03n1x, a3x3k, chandu-kona, Ary, Goutham, AmunRha, Ad0lphus",Nil
alles21-canary,pwn,"Ritvik, k1R4, DarkKnight, sourag, Pwn_Solo, arsenelupwn",2021-09-04 20:15:12.778000
alles21-jsp,web,"Rohit Narayanan M, Az3z3l, Sk4d00.sh, Aneesh, yadhu, Cap-k, careless_finch",Nil
alles21-squirrel,pwn,"Pwn_Solo, arsenelupwn, k1R4",Nil
alles21-monstrosity,reverse,"AmunRha, Rohit Narayanan M, Aneesh, Ad0lphus, Barla Abhishek, Freakston, silverf3lix",2021-09-04 22:39:08.926000
alles21-pixelcat,misc,"a3x3k, Ary, Sampath, Goutham, v1Ru5, arsenelupwn, imm0rt4l_5t4rk",Nil
alles21-jumpy,pwn,"DarkKnight, Ritvik, sourag, arsenelupwn",2021-09-04 13:30:56.923000
alles21-cryptowaf,web,"Az3z3l, Sayooj B Kumar",2021-09-05 05:59:53.245000
alles21-secureflagservice,crypto,"ph03n1x, Pavani Poluru, careless_finch, Vishvesh, Abhishek Bharadwaj, Rithvik",Nil
alles21-ransom,pwn,"arsenelupwn, k1R4, shravya, Ritvik, Nikhil, DarkKnight",Nil
