Challenge Name,Category,Solved/Attempted by,Solve time
asisfinals22-raas-v1,web,"Z_Pacifist, sk4d",2022-12-30 21:10:38.426000
asisfinals22-basic,forensics,"Sabhya, nandita sangeeth, Azr43lKn1ght, LS, 4n4rch15t, Z_Pacifist, victim1307, g4rud4",Nil
asisfinals22-monward,crypto,"4n4rch15t, LS, Hisoka, victim1307, Abhishek Bharadwaj",Nil
asisfinals22-bedouin,crypto,"LS, Hisoka, 4n4rch15t",2022-12-30 22:39:19.154000
asisfinals22-readable,pwn,"k1R4, fr1gh7, spektre, DarkKnight",Nil
asisfinals22-raas-v2,web,"Z_Pacifist, sk4d, Aneesh, alfin, Lu513n, Av4nth1ka, L0xm1",Nil
asisfinals22-rexy,reverse,Barla Abhishek,2022-12-31 00:02:30.594000
asisfinals22-deserve,reverse,Barla Abhishek,2022-12-31 08:58:54.913000
asisfinals22-hyp,web,"Aneesh, Z_Pacifist, alfin, L0xm1, Av4nth1ka, Lu513n, sk4d",Nil
asisfinals22-phpphpphp,web,"sk4d, Aneesh, Av4nth1ka, Z_Pacifist, alfin, Lu513n, L0xm1",Nil
asisfinals22-vindica,crypto,"Hisoka, victim1307, 4n4rch15t, LS",Nil
asisfinals22-jry,pwn,DarkKnight,2022-12-31 12:55:49.516000
