Challenge Name,Category,Solved/Attempted by,Solve time
asisquals21-factory,misc,"P4BLØ, f4lc0n, a3x3k",2021-10-22 20:54:47.615000
asisquals21-justpwnit,pwn,"k1R4, sourag, Ritvik, DarkKnight",2021-10-22 21:05:21.710000
asisquals21-family,reverse,"AmunRha, fugitive, Ad0lphus, Barla Abhishek, imm0rt4l_5t4rk, D3v1L, 4lex1, Vishnu Madhav, Freakston, careless_finch, Revathi, P4BLØ, Ary, a3x3k, d3liri0us, v1Ru5",Nil
asisquals21-warmup,crypto,"stryder, chandu-kona, ph03n1x",2021-10-23 01:14:12.285000
asisquals21-asciiart,web,"Az3z3l, Cap-k, yadhu",2021-10-22 22:29:06.548000
asisquals21-abbr,pwn,"DarkKnight, k1R4, Ritvik",2021-10-22 23:04:08.332000
asisquals21-nonces,web,"Az3z3l, Cap-k, yadhu, Sayooj B Kumar, Aneesh",2021-10-23 21:14:13.521000
asisquals21-gesture,forensics,"a3x3k, Sampath, Ary, v1Ru5, d3liri0us, P4BLØ",Nil
asisquals21-beans,reverse,"fugitive, imm0rt4l_5t4rk, Barla Abhishek, 4lex1, AmunRha, Ad0lphus, bl4ck_Widw, Freakston, Revathi, D3v1L",Nil
asisquals21-spiritual,crypto,"chandu-kona, stryder, Abhishek Bharadwaj, ph03n1x, careless_finch, Pavani Poluru",Nil
asisquals21-strvec,pwn,"DarkKnight, sourag",2021-10-23 12:45:23.735000
asisquals21-mimimemo,pwn,"Nikhil, Ritvik, DarkKnight, k1R4, shravya, Pwn_Solo, sourag",Nil
asisquals21-v8,pwn,"DarkKnight, sourag, k1R4, Ritvik",Nil
asisquals21-af2,web,"Aneesh, Sayooj B Kumar, yadhu, Az3z3l, Sk4d00.sh, Cap-k, Rohit Narayanan M",Nil
asisquals21-madras,crypto,"stryder, ph03n1x, Abhishek Bharadwaj, Pavani Poluru",Nil
asisquals21-nmanager,web,"Aneesh, Az3z3l, Sayooj B Kumar, yadhu, Rohit Narayanan M, Sk4d00.sh, Cap-k",Nil
