Challenge Name,Category,Solved/Attempted by,Solve time
b01lersctf23-padlock,['reverse'],Ad0lphus,2023-03-18 15:55:07.666000
b01lersctf23-voidciphr,['crypto'],"dhN, d1sc0, APN, victim1307, Hisoka, LS, Sans",Nil
b01lersctf23-fishy-motd,['web'],"Lu513n, Aneesh, sk4d",2023-03-19 04:05:42.268000
b01lersctf23-chicago,['reverse'],"AmunRha, retr0ds",2023-03-19 14:03:00.633000
b01lersctf23-transcendental,['pwn'],"spektre, tourpran, fr1gh7, k1R4, shravya",Nil
b01lersctf23-majestic_loop,['crypto'],"dhN, victim1307, Hisoka, Abhishek Bharadwaj, LS",Nil
b01lersctf23-poeticrypto,['crypto'],"dhN, victim1307, Hisoka, LS",Nil
b01lersctf23-cheating_scandal,['misc'],"retr0ds, gh0stkn1ght, Jl, B1u33, w3!rd5h4rk, Azr43lKn1ght, Z_Pacifist",Nil
b01lersctf23-abhs,['misc'],"k1R4, sp3p3x",2023-03-19 11:39:15.238000
b01lersctf23-no-copy-allowed,['misc'],"sp3p3x, Azr43lKn1ght, Aneesh, k1R4",2023-03-20 00:08:52.704000
b01lersctf23-yarn_hashing,['misc'],"gh0stkn1ght, d1sc0",Nil
b01lersctf23-safe,['reverse'],"k1n0r4, AmunRha, Ad0lphus",Nil
b01lersctf23-phpgalf,['web'],"Aneesh, Lu513n, sk4d, Av4nth1ka, L0xm1, alfin, Z_Pacifist, Rav3nf0",Nil
b01lersctf23-babynoah,['reverse'],"Ad0lphus, k1n0r4, AmunRha, retr0ds",Nil
b01lersctf23-noah,['pwn'],"k1R4, spektre, shravya",Nil
b01lersctf23-ezclass,['misc'],k1R4,2023-03-19 13:58:53.647000
b01lersctf23-blacklisted,['misc'],"k1R4, retr0ds, dhN, Hisoka, LS",Nil
