Challenge Name,Category,Solved/Attempted by,Solve time
bluewaterctf24-md501,['crypto'],hisoka.fr,Nil
bluewaterctf24-wslp,['pwn'],"justk1r4, theb4tmite, silence_, spektr.e, _r0r1_, heartstoller, tourpran",Nil
bluewaterctf24-md5_01,['crypto'],"hisoka.fr, ___apn___, aerosol., ls.exe, sans8475",Nil
bluewaterctf24-bluenote,['web'],"z_pacifist, k0w4lzk1, ma1f0y_, winters0x168, luc_f3r, h3ri0s",Nil
bluewaterctf24-maybe_checker,['reverse'],"the.m3chanic, theb4tmite, k1n0r4, sherlockcheezu, silence_, kndn, retr0ds, heartstoller",Nil
bluewaterctf24-rsajail3,['misc'],"hisoka.fr, ___apn___, aerosol., spektr.e, silence_, sans8475, ls.exe, k0w4lzk1, heartstoller, kr4z31n",Nil
bluewaterctf24-flute,['reverse'],"sherlockcheezu, retr0ds, the.m3chanic",Nil
bluewaterctf24-spongebox,['pwn'],"spektr.e, justk1r4, silence_, theb4tmite, dark.kn1ght, heartstoller, _r0r1_, tourpran",Nil
bluewaterctf24-sandevistan,['web'],lu513n,2024-10-13 13:20:24.655000
bluewaterctf24-geo_weapon,['web'],"z_pacifist, exigent07, ma1f0y_, k0w4lzk1, h3ri0s, lu513n, winters0x168",Nil
bluewaterctf24-the-great-escape,['pwn'],"justk1r4, heartstoller, silence_, theb4tmite",Nil
