Challenge Name,Category,Solved/Attempted by,Solve time
boilersctf21-roulette_wheel,reverse,"fugitive, D3v1L, silverf3lix",2021-04-04 09:06:01.132000
boilersctf21-gdpr,web,careless_finch,2021-04-04 03:56:01.075000
boilersctf21-lorem_ipsum,web,"yadhuz, Sayooj_B_Kumar, Captain-kay, Sk4d00.sh, Az3z3l",2021-04-04 14:01:07.041000
boilersctf21-weenie_hut,reverse,careless_finch,2021-04-04 05:07:41.750000
boilersctf21-nsnc,forensics,d3liri0us,2021-04-04 14:28:00.386000
boilersctf21-scramble,reverse,"fugitive, silverf3lix, D3v1L",2021-04-04 11:20:34.057000
boilersctf21-pyjail1,misc,DarkKnight,2021-04-04 11:04:19.227000
boilersctf21-babydoublexor,crypto,"V0ld3m0rt, DarkKnight, D3v1L, careless_finch, Vishvesh",Nil
boilersctf21-banksy,pwn,"Ritvik, DarkKnight, Pwn_Solo, arsenelupwn, sourag, D3v1L",Nil
boilersctf21-middleheap,pwn,"Ritvik, DarkKnight, Pwn_Solo, arsenelupwn, sourag, D3v1L",Nil
boilersctf21-rootv1,pwn,DarkKnight,2021-04-04 10:30:45.907000
boilersctf21-rootv2,pwn,DarkKnight,2021-04-04 10:55:00.059000
boilersctf21-vm,pwn,"R3x, Ritvik, DarkKnight, sourag, Pwn_Solo",2021-04-05 23:52:18.089000
boilersctf21-bunny,pwn,"DarkKnight, Pwn_Solo, sourag, Ritvik, silverf3lix",2021-04-05 14:29:34.104000
boilersctf21-encoder,reverse,"fugitive, d3liri0us, silverf3lix, D3v1L, Freakston",2021-04-06 00:12:51.693000
boilersctf21-swirler,reverse,"silverf3lix, g4rud4",2021-04-04 11:17:10.500000
boilersctf21-rsasss,crypto,"V0ld3m0rt, Vishvesh, careless_finch, chandu-kona, aniketm_",2021-04-05 08:35:03.309000
boilersctf21-noparensjail,misc,"DarkKnight, g4rud4, Az3z3l, Captain-kay, D3v1L, Vishnu Madhav, cjunior, Rohit Narayanan M, Aneesh nadh R, yadhuz, Sk4d00.sh, sourag, Sayooj_B_Kumar, f4lc0n, Vishvesh, Srividhya",Nil
boilersctf21-1000words,reverse,"silverf3lix, Freakston, fugitive, D3v1L, Vishnu Madhav",2021-04-04 18:45:04.643000
boilersctf21-pyjail2,misc,DarkKnight,2021-04-05 00:06:08.577000
boilersctf21-barswindvocals,misc,"f4lc0n, cjunior, g4rud4, D3v1L, AmunRha, Az3z3l, DarkKnight",Nil
boilersctf21-nlp-rabbit,misc,"d3liri0us, f4lc0n, g4rud4, D3v1L, Vishnu Madhav, aniketm_, silverf3lix, chandu-kona, Vishvesh, Sayooj_B_Kumar, Az3z3l, DarkKnight",Nil
boilersctf21-pyjail3,misc,"f4lc0n, Sayooj_B_Kumar, g4rud4, yadhuz, careless_finch, DarkKnight, Vishnu Madhav, D3v1L",Nil
boilersctf21-pyjail4,misc,"f4lc0n, Vishnu Madhav, g4rud4, DarkKnight, Rohit Narayanan M, Aneesh nadh R, Captain-kay, Sayooj_B_Kumar, chandu-kona, careless_finch, Az3z3l, D3v1L",Nil
boilersctf21-elfcraft,misc,"Freakston, fugitive, Captain-kay, g4rud4",2021-04-05 13:48:42.218000
boilersctf21-cold-war-gets-hotter,crypto,"careless_finch, V0ld3m0rt, aniketm_, Vishvesh, DarkKnight, D3v1L",Nil
