Challenge Name,Category,Solved/Attempted by,Solve time
cryptoctf-alibos,['crypto'],hisoka.fr,2024-06-08 19:36:27.002000
cryptoctf-forghan,['crypto'],"aerosol., ___apn___, arch_zero, silence_, sans8475, sp3p3x",Nil
cryptoctf-joe-19,['crypto'],hisoka.fr,2024-06-08 21:56:54.521000
cryptoctf-solmaz,['crypto'],"aerosol., hisoka.fr, sans8475, arch_zero, sp3p3x",Nil
cryptoctf-honey,['crypto'],"aerosol., ___apn___, hisoka.fr, arch_zero, ls.exe, sp3p3x",Nil
cryptoctf-rm2,['crypto'],"hisoka.fr, sans8475, aerosol.",2024-06-09 03:34:43.228000
cryptoctf-alilbos,['crypto'],"hisoka.fr, ls.exe, aerosol., arch_zero, ___apn___, sans8475",Nil
cryptoctf-mashy,['crypto'],hisoka.fr,2024-06-09 03:32:40.826000
cryptoctf-bada,['crypto'],"sans8475, aerosol., hisoka.fr",2024-06-09 05:59:46.409000
cryptoctf-beheaded,['crypto'],"___apn___, hisoka.fr, sans8475, sp3p3x",Nil
cryptoctf-malek,['crypto'],hisoka.fr,2024-06-09 13:16:56.754000
cryptoctf-ahoo,['crypto'],"___apn___, sans8475, hisoka.fr",Nil
