Challenge Name,Category,Solved/Attempted by,Solve time
csaw-quals23-philantrophy,['web'],"luc_f3r, z_pacifist",2023-09-16 14:08:58.524000
csaw-quals23-recover_host_files,['forensics'],"sp3p3x, azr43lkn1ght, sh.4rk, jl911",2023-09-16 15:17:07.453000
csaw-quals23-1black0white,['forensics'],"azr43lkn1ght, sh.4rk",2023-09-16 00:33:07.200000
csaw-quals23-smugdino,['web'],"luc_f3r, z_pacifist, alfin",2023-09-15 23:53:03.636000
csaw-quals23-rebug_1,['reverse'],"k1n0r4, amunrha, ad0lphus",Nil
csaw-quals23-unlimited_subway,['pwn'],spektr.e,2023-09-15 22:35:33.138000
csaw-quals23-mta_prices,['web'],"z_pacifist, ma1f0y_, alfin, luc_f3r",2023-09-17 19:41:29.582000
csaw-quals23-lottery,['crypto'],"ls.exe, victim1307, hisoka.fr",2023-09-17 19:14:09.465000
csaw-quals23-rebug_2,['reverse'],k1n0r4,2023-09-15 22:23:41.505000
csaw-quals23-super-secure-heap,['pwn'],justk1r4,2023-09-16 11:37:58.199000
csaw-quals23-rox,['reverse'],"k1n0r4, justk1r4",2023-09-17 19:14:24.553000
csaw-quals23-circles,['crypto'],ls.exe,2023-09-17 04:59:08.629000
csaw-quals23-androiddropper,['misc'],victim1307,2023-09-15 23:57:36.595000
csaw-quals23-br3ak_th3_vult,['forensics'],"gh0stkn1ght, azr43lkn1ght, _b1u33, stuxn3t, sh.4rk, jl911, sp3p3x, g4rud4",Nil
csaw-quals23-rainbownotes,['web'],"ma1f0y_, z_pacifist, lu513n, sk4d, l0x.me, luc_f3r, alfin",Nil
csaw-quals23-double_zer0_dilemma,['pwn'],"justk1r4, spektr.e, fr1gh7",2023-09-16 14:55:56.395000
csaw-quals23-initial_access,['forensics'],"jl911, sp3p3x, stuxn3t",2023-09-16 16:23:02.294000
csaw-quals23-communicator,['forensics'],"jl911, sp3p3x, stuxn3t, gh0stkn1ght, sh.4rk, azr43lkn1ght, g4rud4, _b1u33",Nil
csaw-quals23-ransomeware,['forensics'],"jl911, sp3p3x, gh0stkn1ght, sh.4rk, azr43lkn1ght, g4rud4, stuxn3t",Nil
csaw-quals23-linear-regression,['misc'],"hisoka.fr, justk1r4, fr1gh7",2023-09-16 16:15:23.660000
csaw-quals23-impossible,['reverse'],"k1n0r4, ad0lphus, amunrha, jatin.exe, justk1r4, fr1gh7",Nil
csaw-quals23-blocky-noncense,['crypto'],victim1307,2023-09-17 17:03:14.251000
csaw-quals23-stonk,['misc'],"z_pacifist, ma1f0y_, alfin, fr1gh7, luc_f3r",2023-09-17 17:00:57.309000
csaw-quals23-mental_poker,['crypto'],"hisoka.fr, ls.exe",Nil
