Challenge Name,Category,Solved/Attempted by,Solve time
csaw-united,web,"Sayooj B Kumar, yadhu, Rohit Narayanan M, Aneesh, Az3z3l, Cap-k, Sk4d00.sh, careless_finch, DarkKnight",Nil
csaw-portfolio,web,"Az3z3l, Aneesh, Cap-k",2021-11-13 14:14:36.085000
csaw-glootie,reverse,"silverf3lix, Freakston, Barla Abhishek",2021-11-13 10:29:22.552000
csaw-maze,reverse,fug1t1ve,2021-11-14 18:29:42.771000
csaw-imports,reverse,AmunRha,2021-11-13 20:00:23.977000
csaw-collision,crypto,"Vishvesh_R, Abhishek Bharadwaj, careless_finch",2021-11-13 18:28:58.426000
csaw-notime,forensics,"a3x3k, stuxn3t, g4rud4, v1Ru5, Ary, P4BLØ, Chetak, d3liri0us",2021-11-13 13:01:23.836000
csaw-ropcrastination,pwn,"DarkKnight, k1R4, shravya",2021-11-13 14:12:00.926000
csaw-csawbox,pwn,"DarkKnight, sourag, Pwn_Solo, Ritvik, k1R4, Nikhil, aDHIxx, shravya, yadhu, Sayooj B Kumar",Nil
csaw-baby_mqtt,pwn,"DarkKnight, sourag, Ritvik, k1R4, Nikhil, aDHIxx, yadhu, Sayooj B Kumar",Nil
csaw-horrorscope,pwn,"DarkKnight, sourag, Ritvik, k1R4, Nikhil, aDHIxx, shravya, yadhu, Sayooj B Kumar, Pwn_Solo",Nil
csaw-chaff_mqtt,pwn,"DarkKnight, sourag, Ritvik, k1R4, Nikhil, shravya, yadhu, Sayooj B Kumar",Nil
csaw-interoperable,crypto,"Vishvesh_R, careless_finch, Abhishek Bharadwaj, ph03n1x, Pavani, yadhu, Sayooj B Kumar, DarkKnight",Nil
csaw-ibad,crypto,"Vishvesh_R, careless_finch, Abhishek Bharadwaj, ph03n1x, 2TAP, chandu-kona, Pavani, yadhu, Sayooj B Kumar, DarkKnight",Nil
csaw-chatterbox,pwn,"DarkKnight, Pwn_Solo, shravya, yadhu, Sayooj B Kumar",Nil
csaw-solaris,forensics,"Sayooj B Kumar, v1Ru5, a3x3k, Chetak, P4BLØ, Ary, Freakston, d3liri0us, yadhu, DarkKnight",Nil
csaw-constela,forensics,"Sayooj B Kumar, a3x3k, Ary, Chetak, P4BLØ, v1Ru5, d3liri0us, yadhu, DarkKnight",Nil
csaw-weekendcrash,forensics,stuxn3t,2021-11-13 14:13:44.432000
csaw-afraidofloss,forensics,stuxn3t,2021-11-13 14:20:48.333000
csaw-tor-rible,misc,"g4rud4, Rohit Narayanan M",2021-11-13 21:16:53.440000
csaw-sfc,reverse,"Sayooj B Kumar, Barla Abhishek, Revathi, AmunRha, V!p3r, fug1t1ve, yadhu, DarkKnight",Nil
csaw-control,reverse,"Sayooj B Kumar, AmunRha, Ad0lphus, Freakston, yadhu, DarkKnight",Nil
csaw-ebook,web,"Sayooj B Kumar, Aneesh, yadhu",2021-11-13 16:20:40.054000
csaw-vacationplanner,web,"Sayooj B Kumar, yadhu, Az3z3l, Cap-k, Aneesh, Sk4d00.sh, Rohit Narayanan M, DarkKnight",Nil
csaw-grande,web,"Sayooj B Kumar, Az3z3l, Aneesh, yadhu, Sk4d00.sh, Cap-k, Rohit Narayanan M, DarkKnight",Nil
csaw-baneofit,misc,"Sayooj B Kumar, careless_finch, Abhishek Bharadwaj, Barla Abhishek, yadhu, a3x3k, DarkKnight, P4BLØ, d3liri0us",Nil
