Challenge Name,Category,Solved/Attempted by,Solve time
csawfinals24-hunting_the_shadow,['crypto'],"ls.exe, silence_, ___apn___, kr4z31n, hisoka.fr, aerosol., jatin.exe, azr43lkn1ght, tourpran, rudraagh, __m1m1__, arch_zero, gh0stkn1ght, sans8475, k0w4lzk1, h3ri0s, _r0r1_",Nil
csawfinals24-aot,['reverse'],"retr0ds, the.m3chanic, k1n0r4",2024-11-08 18:37:32.785000
csawfinals24-breadcrumbs,['osint'],"alfin3313, winters0x168, silence_, k0w4lzk1, justk1r4, heartstoller, z_pacifist, ls.exe, h3ri0s, hisoka.fr, jatin.exe, tourpran, exigent07, __m1m1__, xbr01, t0r4n4d0, arch_zero, _r0r1_",Nil
csawfinals24-grimaces_sauce,['misc'],"spektr.e, heartstoller, silence_, justk1r4, ls.exe, hisoka.fr, jatin.exe, tourpran, k0w4lzk1, arch_zero, z_pacifist, alfin3313, azr43lkn1ght, gh0stkn1ght, h3ri0s, _r0r1_",Nil
csawfinals24-noncooperative_trolls_r_us,['crypto'],"ls.exe, aerosol., silence_, ___apn___, hisoka.fr, jatin.exe, tourpran, arch_zero, sans8475, k0w4lzk1, h3ri0s, _r0r1_",Nil
csawfinals24-ski,['reverse'],"retr0ds, justk1r4, ls.exe, silence_, hisoka.fr, jatin.exe, tourpran, k1n0r4, xbr01, k0w4lzk1, h3ri0s, _r0r1_, sherlockcheezu",Nil
csawfinals24-rocketman,['osint'],"alfin3313, k0w4lzk1, winters0x168, heartstoller, silence_, z_pacifist, ls.exe, h3ri0s, kr4z31n, hisoka.fr, jatin.exe, tourpran, exigent07, __m1m1__, xbr01, t0r4n4d0, arch_zero, luc_f3r, justk1r4, _r0r1_, sans8475",Nil
csawfinals24-flight828,['pwn'],spektr.e,2024-11-08 03:52:23.387000
csawfinals24-riscy_voting,['pwn'],silence_,2024-11-08 17:17:52.017000
csawfinals24-wizard_battle,['pwn'],silence_,2024-11-08 12:06:14.746000
csawfinals24-webp,['web'],alfin3313,2024-11-08 15:20:56.580000
csawfinals24-galery,['pwn'],"silence_, _r0r1_, spektr.e",2024-11-08 18:23:45.607000
csawfinals24-niltok,['reverse'],"retr0ds, k1n0r4, k0w4lzk1, justk1r4, h3ri0s, silence_, _r0r1_",Nil
csawfinals24-custom_authenticated_encryption,['crypto'],"ls.exe, aerosol., sans8475",2024-11-09 00:22:03.589000
csawfinals24-shuffle,['reverse'],"retr0ds, k1n0r4, justk1r4, h3ri0s, silence_, _r0r1_",Nil
csawfinals24-bootlegger,['web'],"alfin3313, k0w4lzk1, h3ri0s, hisoka.fr, aerosol., 570rmbreaker, silence_, z_pacifist, d3vn37, ___apn___, ls.exe, _r0r1_, luc_f3r, spektr.e",Nil
csawfinals24-boss_battle,['blockchain'],"spektr.e, silence_, t0r4n4d0, heartstoller, 570rmbreaker, theb4tmite",Nil
csawfinals24-department_of_sanitization,['pwn'],"spektr.e, _r0r1_, heartstoller, theb4tmite",Nil
