Challenge Name,Category,Solved/Attempted by,Solve time
cybermimic21-adminprofile,web,"Sayooj B Kumar, Az3z3l, Aneesh, yadhu, Sk4d00.sh, Rohit Narayanan M",2021-11-11 12:51:36.785000
cybermimic21-mrsmith,crypto,"yadhu, Abhishek Bharadwaj, careless_finch, ph03n1x, Vishvesh_R, Pavani, 2TAP, Nilabha",Nil
cybermimic21-tryfindme,misc,g4rud4,2021-11-10 19:01:58.704000
cybermimic21-babyre,reverse,"yadhu, fug1t1ve, D3v1L, Ad0lphus, Vishnu Madhav, Barla Abhishek, bl4ck_Widw, Abhishek Bharadwaj, ph03n1x, Vishvesh_R, careless_finch, 4lex1, Revathi, imm0rt4l_5t4rk, Pavani, AmunRha",Nil
cybermimic21-babytms,reverse,"yadhu, D3v1L, Vishnu Madhav, Barla Abhishek, Ad0lphus, fug1t1ve, bl4ck_Widw, Hyperi0n, Revathi, 4lex1, imm0rt4l_5t4rk, AmunRha",Nil
cybermimic21-mimicrunner1,web,Sayooj B Kumar,2021-11-10 23:34:05.226000
cybermimic21-mimicrouter1,pwn,DarkKnight,2021-11-10 18:28:21.489000
cybermimic21-mimicsoft,pwn,"DarkKnight, k1R4",2021-11-10 20:07:30.200000
cybermimic21-mimicryswitch,pwn,"DarkKnight, Pwn_Solo, sourag, Nikhil, shravya, k1R4, aDHIxx",Nil
cybermimic21-hsvpn,misc,"yadhu, a3x3k, DarkKnight, v1Ru5, Chetak, Ary, P4BLØ, d3liri0us",Nil
cybermimic21-eserver,pwn,"DarkKnight, Pwn_Solo",Nil
cybermimic21-oneaarch,pwn,"DarkKnight, k1R4",Nil
cybermimic21-mimicswitch2,pwn,"DarkKnight, shravya",Nil
cybermimic21-dontbenovice,web,"Az3z3l, Sayooj B Kumar, yadhu, Aneesh, Sk4d00.sh, Rohit Narayanan M, Cap-k",Nil
cybermimic21-easyweb,web,"yadhu, Aneesh, Sayooj B Kumar, Rohit Narayanan M, Sk4d00.sh, Cap-k, Az3z3l",Nil
