Challenge Name,Category,Solved/Attempted by,Solve time
cybrics21-recording,forensics,"d3liri0us, g4rud4, Sampath, a3X3k, Goutham",2021-07-24 23:52:38.638000
cybrics21-multichat,web,Az3z3l,2021-07-24 15:49:22.492000
cybrics21-kernel,reverse,"fugitive, h4x5p4c3, D3v1L, 4d0lphu5",2021-07-25 14:01:24.722000
cybrics21-tothemoon,crypto,"Majin, Abhishek Bharadwaj, 2TAP, Rithvik, Vishvesh, careless_finch, Pavani Poluru, d3liri0us, a3X3k, Sampath",Nil
cybrics21-adnetwork,web,yadhu,2021-07-24 15:51:34.726000
cybrics21-rm,pwn,"Ritvik, sourag, DarkKnight, Pwn_Solo, Sayooj B Kumar, Nikhil, Sk4d00.sh, k1R4, Aneesh, Rohit Narayanan M, Majin, arsenelupwn, careless_finch, Abhishek Bharadwaj, Vishvesh, Barla Abhishek, h4x5p4c3, 4d0lphu5, aDHIxx, Rithvik",Nil
cybrics21-scanner,misc,"Abhishek Bharadwaj, Barla Abhishek",2021-07-24 16:34:25.367000
cybrics21-namecheck,forensics,"Goutham, a3X3k, Sampath, Abhishek Bharadwaj, d3liri0us, Rithvik, Ary",Nil
cybrics21-antarctic,forensics,"Goutham, a3X3k, Sampath, Ary",Nil
cybrics21-announcement,web,"Az3z3l, yadhu, Sk4d00.sh, Aneesh, Rohit Narayanan M, careless_finch",2021-07-24 19:39:23.368000
cybrics21-smashed,forensics,"stuxn3t, a3X3k, Goutham, Sampath, Abhishek Bharadwaj, Rithvik",Nil
cybrics21-lx100,misc,d3liri0us,2021-07-25 00:55:36.515000
cybrics21-checkin,web,"Sayooj B Kumar, yadhu, Az3z3l, Sk4d00.sh, Aneesh, careless_finch, Rohit Narayanan M, Barla Abhishek, Captain-kay, Srividhya, Aiswarya",Nil
cybrics21-captcha,misc,Abhishek Bharadwaj,2021-07-24 18:51:43.838000
cybrics21-listing,reverse,"fugitive, Barla Abhishek",2021-07-24 19:20:15.200000
cybrics21-signer,crypto,Majin,2021-07-24 19:51:40.071000
cybrics21-walker,reverse,"fugitive, Barla Abhishek, D3v1L, Vishnu Madhav, 4d0lphu5, AmunRha, h4x5p4c3",Nil
cybrics21-asciiterminal,misc,f4lc0n,2021-07-24 21:59:50.029000
cybrics21-pngoshop,pwn,"Nikhil, aDHIxx, Pwn_Solo, arsenelupwn, shravya, Ritvik, k1R4, DarkKnight, sourag",Nil
cybrics21-editor,pwn,"Pwn_Solo, arsenelupwn, Ritvik, aDHIxx, shravya, Nikhil, DarkKnight, k1R4, sourag",Nil
