Challenge Name,Category,Solved/Attempted by,Solve time
defcamp22-file_hides_something,forensics,stuxn3t,2022-02-11 19:36:07.236000
defcamp22-ok,forensics,"stuxn3t, g4rud4, d3liri0us, v1Ru5",2022-02-11 23:22:43.060000
defcamp22-raw_image,crypto,"Vishvesh_R, careless_finch, Rees, LS, Mrinalini, Abhishek Bharadwaj, Pavani, d3liri0us, a3x3k, rayst4rk, CR33D, v1Ru5, Chetak, Rohit Narayanan M, Aneesh",Nil
defcamp22-webintro,web,"Z_Pacifist, Aneesh, Sayooj B Kumar, Rohit Narayanan M, Sk4d00.sh",2022-02-11 15:06:33.803000
defcamp22-cache,pwn,"k1R4, NightKing, shravya",2022-02-11 16:54:14.378000
defcamp22-rsa-factory,crypto,"Vishvesh_R, LS, careless_finch, Rees, Abhishek Bharadwaj, Mrinalini, AmunRha, Pavani, Ad0lphus, Rohit Narayanan M",Nil
defcamp22-malwy,reverse,AmunRha,2022-02-11 21:57:22.903000
defcamp22-cup-of-tea,reverse,"fug1t1ve, AmunRha",2022-02-13 11:40:24.926000
defcamp22-can-you-crack-this,reverse,"fug1t1ve, Revathi, Retr0ds, Barla Abhishek, bl4ck_Widw, Ad0lphus, imm0rt4l_5t4rk, Sejal_k, Reeve, Rohit Narayanan M",Nil
defcamp22-blindsight,pwn,"DarkKnight, k1R4",2022-02-11 19:28:25.474000
defcamp22-catchmeifyoucan,reverse,"fug1t1ve, Revathi, Reeve, Barla Abhishek, Rohit Narayanan M, Aneesh, Sayooj B Kumar, Z_Pacifist, Sk4d00.sh, L0xmii, CR33D",Nil
defcamp22-paracode,web,"Rohit Narayanan M, Sk4d00.sh, Aneesh, Sayooj B Kumar, yadhu",2022-02-11 16:01:19.992000
defcamp22-algorithm,crypto,Rohit Narayanan M,2022-02-11 21:58:04.109000
defcamp22-casual_defence,web,"Rohit Narayanan M, yadhu, Sayooj B Kumar, Aneesh, Sk4d00.sh",2022-02-11 17:03:04.719000
defcamp22-research,web,"Rohit Narayanan M, Sk4d00.sh, Aneesh, L0xmii, Z_Pacifist, CR33D, Av4nth1ka, yadhu, Az3z3l, alfin",Nil
defcamp22-itsupport,web,"Rohit Narayanan M, Az3z3l, Sayooj B Kumar, Z_Pacifist, Aneesh, Sk4d00.sh, yadhu, CR33D",2022-02-12 11:49:30.555000
defcamp22-zebra-lib,misc,"Z_Pacifist, Aneesh, Rohit Narayanan M",2022-02-11 20:13:59.636000
defcamp22-wafer,misc,"Sk4d00.sh, Aneesh, Rohit Narayanan M",2022-02-11 21:57:48.192000
defcamp22-cant_touch_this,misc,"Z_Pacifist, Aneesh, Rohit Narayanan M, Sayooj B Kumar",2022-02-11 22:41:41.408000
defcamp22-raw-proto,misc,"Sk4d00.sh, Aneesh, Rohit Narayanan M, Sayooj B Kumar",2022-02-12 20:02:42.109000
defcamp22-p2dpi,crypto,"Vishvesh_R, Pavani, Abhishek Bharadwaj, careless_finch, Rees, Rohit Narayanan M, Mrinalini, LS",Nil
