Challenge Name,Category,Solved/Attempted by,Solve time
devctf22t2-registration,misc,"Aneesh, Rees, spektre, careless_finch, Azr43lKn1ght, L0xmii, kim_chi",Nil
devctf22t2-thegoodolddays,web,L0xmii,2022-05-07 17:30:13.918000
devctf22t2-unchangeablepasswords,web,"L0xmii, Av4nth1ka",2022-05-07 18:22:34.389000
devctf22t2-getargs,reverse,kim_chi,2022-05-07 17:55:36.993000
devctf22t2-excesschars,reverse,"spektre, Azr43lKn1ght",2022-05-07 19:08:09.270000
devctf22t2-tenlittlephrases,reverse,"spektre, Azr43lKn1ght",2022-05-07 19:05:09.304000
devctf22t2-ciphertext,web,Av4nth1ka,2022-05-08 14:46:10.065000
devctf22t2-listing,misc,"Aneesh, Rees, Azr43lKn1ght, spektre, careless_finch, kim_chi",Nil
devctf22t2-payload,reverse,"Aneesh, careless_finch, spektre, Azr43lKn1ght, kim_chi, Rees",Nil
devctf22t2-captchatheflag,misc,Rees,2022-05-07 19:28:21.354000
devctf22t2-flagauction,web,Av4nth1ka,2022-05-08 09:33:49.316000
devctf22t2-sequel,web,L0xmii,2022-05-08 09:34:12.140000
devctf22t2-mandir,web,L0xmii,2022-05-08 15:35:32.014000
devctf22t2-android,reverse,"Aneesh, spektre, kim_chi, Rees, careless_finch, Azr43lKn1ght, Av4nth1ka",Nil
devctf22t2-scientifichashes,web,"Aneesh, L0xmii, Av4nth1ka",Nil
