Challenge Name,Category,Solved/Attempted by,Solve time
dicectf22-notekeeper,web,"yadhu, Rohit Narayanan M, Sk4d00.sh, Aneesh, Az3z3l, Sayooj B Kumar, Z_Pacifist, Cap-k",Nil
dicectf22-knock-knock,web,"yadhu, Rohit Narayanan M, Sk4d00.sh",2022-02-05 02:59:33.664000
dicectf22-baby-rsa,crypto,chandu-kona,2022-02-05 10:49:51.217000
dicectf22-shadow,web,"Rohit Narayanan M, Sk4d00.sh, yadhu, Aneesh, Az3z3l, Sayooj B Kumar, Cap-k, Z_Pacifist, CR33D",Nil
dicectf22-blazingfast,web,"Aneesh, Az3z3l",2022-02-05 10:19:30.989000
dicectf22-flagle,reverse,fug1t1ve,2022-02-05 18:13:23.170000
dicectf22-hyperlink,reverse,"AmunRha, Barla Abhishek, Ad0lphus, fug1t1ve",2022-02-05 23:04:50.825000
dicectf22-interview-opportunity,pwn,spektre,2022-02-05 11:22:00.111000
dicectf22-undefined,misc,careless_finch,2022-02-06 14:45:16.621000
dicectf22-carrot,web,"Az3z3l, Rohit Narayanan M, Aneesh, Sayooj B Kumar, yadhu, Sk4d00.sh",Nil
dicectf22-data-eater,pwn,"Ritvik, DarkKnight, Pwn_Solo, spektre, m0rb1u5, k1R4",Nil
dicectf22-sober-bishop,misc,"d3liri0us, Chetak, ATCツ5TARRC, Sk4d00.sh, careless_finch, Rohit Narayanan M, Aneesh, a3x3k",Nil
dicectf22-rejected,crypto,"Vishvesh_R, careless_finch, Abhishek Bharadwaj",Nil
dicectf22-baby-rop,pwn,"DarkKnight, Pwn_Solo",2022-02-05 13:57:02.315000
dicectf22-vmcalc,web,"Aneesh, Sayooj B Kumar, yadhu, Az3z3l, Cap-k, Rohit Narayanan M, Sk4d00.sh, alfin",Nil
dicectf22-pow-pow,crypto,"careless_finch, Abhishek Bharadwaj, Vishvesh_R",Nil
dicectf22-nightmare,pwn,"k1R4, Ritvik, NightKing, Pwn_Solo, DarkKnight, spektre, aDHIxx",Nil
dicectf22-chutes,pwn,"DarkKnight, k1R4, Ritvik",2022-02-05 23:32:43.644000
dicectf22-nocookie,web,"Az3z3l, Aneesh, Cap-k, Sk4d00.sh, Rohit Narayanan M, yadhu, Sayooj B Kumar",Nil
dicectf22-containment,pwn,"Ritvik, k1R4, spektre, DarkKnight, Pwn_Solo, NightKing, aDHIxx",Nil
dicectf22-dicecraft,reverse,"fug1t1ve, AmunRha, Barla Abhishek, Ad0lphus",Nil
dicectf22-breach,reverse,"AmunRha, Barla Abhishek, Ad0lphus",Nil
dicectf22-flare,web,"Aneesh, Az3z3l, Rohit Narayanan M, Sk4d00.sh, yadhu, Sayooj B Kumar",Nil
dicectf22-vinegar,misc,"d3liri0us, P4BLØ, Aneesh, Chetak, Sk4d00.sh, Rohit Narayanan M, a3x3k",Nil
dicectf22-taxes,reverse,"fug1t1ve, Barla Abhishek, Ad0lphus, AmunRha",Nil
dicectf22-correlated,crypto,"Abhishek Bharadwaj, Vishvesh_R",Nil
