Challenge Name,Category,Solved/Attempted by,Solve time
fword21-crypt,forensics,"g4rud4, stuxn3t, v1Ru5, a3x3k, Goutham, Sampath",2021-08-28 00:00:56.016000
fword21-saw,reverse,"silverf3lix, D3v1L, AmunRha, Ad0lphus, Vishnu Madhav, fugitive, bl4ck_Widw, Barla Abhishek, Freakston, imm0rt4l_5t4rk, 4lex1, Revathi",Nil
fword21-chillii,pwn,"k1R4, Ritvik",2021-08-28 00:01:21.820000
fword21-timemachine,reverse,"Barla Abhishek, silverf3lix, imm0rt4l_5t4rk, Freakston, D3v1L",2021-08-28 15:40:25.142000
fword21-shisui,web,"Az3z3l, Cap-k, yadhu, Sayooj B Kumar",2021-08-28 03:00:00.506000
fword21-employee,misc,"Nikhil, a3x3k, Goutham, aDHIxx, Sampath, Revathi, Rohit Narayanan M, Aneesh, Sk4d00.sh, Srividhya, k1R4, AmunRha, Barla Abhishek, Pavani Poluru, Ad0lphus, Rithvik",Nil
fword21-leaky,crypto,careless_finch,2021-08-28 00:19:13.802000
fword21-blacklist,pwn,"k1R4, shravya, Ritvik, arsenelupwn, Pwn_Solo",2021-08-28 15:59:27.702000
fword21-notes,pwn,"k1R4, Ritvik, Pwn_Solo, sourag, DarkKnight",2021-08-28 12:47:31.941000
fword21-login,crypto,"careless_finch, Pavani Poluru, Vishvesh, 2TAP, Abhishek Bharadwaj, ph03n1x, V0ld3m0rt, chandu-kona",Nil
fword21-listening,forensics,"g4rud4, Cap-k, Az3z3l",2021-08-28 13:04:49.258000
fword21-bf,forensics,"a3x3k, Goutham, Sampath, Ary, d3liri0us",Nil
fword21-seoftw,web,"Az3z3l, yadhu, Sayooj B Kumar, Rohit Narayanan M, Aneesh, Sk4d00.sh",2021-08-28 13:10:26.953000
fword21-peaky,pwn,"DarkKnight, sourag, Ritvik, Pwn_Solo",2021-08-28 15:06:09.776000
fword21-boombastic,crypto,ph03n1x,2021-08-28 11:07:30.171000
fword21-parrot0x,web,"Az3z3l, Sayooj B Kumar, Aneesh, Rohit Narayanan M, Srividhya, Sk4d00.sh, yadhu, Cap-k",Nil
fword21-elearning,forensics,"stuxn3t, a3x3k, v1Ru5, g4rud4",2021-08-28 15:36:23.957000
fword21-numberstation,misc,"a3x3k, v1Ru5, Nikhil, aDHIxx, k1R4, AmunRha, Barla Abhishek, Rohit Narayanan M, Aneesh, Sk4d00.sh, Ad0lphus, careless_finch, Sayooj B Kumar, Srividhya, yadhu, Goutham, Sampath, shravya",Nil
fword21-omen,reverse,AmunRha,2021-08-28 21:59:57.325000
fword21-devprivops,misc,f4lc0n,2021-08-28 16:32:52.385000
fword21-shshshsh,forensics,"stuxn3t, g4rud4",2021-08-28 19:29:31.576000
fword21-l33k,web,"Az3z3l, Sayooj B Kumar, Cap-k",2021-08-28 22:06:09.748000
fword21-invincible,crypto,chandu-kona,2021-08-28 19:24:00.320000
fword21-mac,forensics,"v1Ru5, a3x3k, Sampath, Ary",Nil
fword21-seoftw2,web,Az3z3l,2021-08-28 23:45:46.391000
fword21-containers,misc,Ritvik,Nil
