Challenge Name,Category,Solved/Attempted by,Solve time
googlectf21-corruption,misc,"f4lc0n, d3liri0us, a3X3k, Sampath, Abhishek Bharadwaj, Ary, v1Ru5, Goutham, Rithvik",Nil
googlectf21-letschat,web,"Rohit Narayanan M, yadhu, Sayooj B Kumar, Aneesh, Aiswarya, careless_finch, Az3z3l, Sk4d00.sh, Srividhya, Captain-kay",Nil
googlectf21-compression,pwn,"DarkKnight, Ritvik, sourag",2021-07-17 22:46:30.877000
googlectf21-tiramisu,crypto,"2TAP, Majin, careless_finch, Abhishek Bharadwaj, Rithvik, Vishvesh, ph03n1x, chandu-kona, Pavani Poluru",Nil
googlectf21-davidandthetree,misc,"g4rud4, v1Ru5, a3X3k, Goutham, d3liri0us, Sampath, Ary, careless_finch, Rohit Narayanan M, Aneesh",Nil
googlectf21-cpp,reverse,"fugitive, Freakston, imm0rt4l_5t4rk, D3v1L, silverf3lix, Barla Abhishek, bl4ck_Widw",2021-07-18 13:49:15.139000
googlectf21-secdriven,web,"Az3z3l, Rohit Narayanan M, Aiswarya, Aneesh, Srividhya, careless_finch, Sk4d00.sh, Sayooj B Kumar, yadhu, Captain-kay, c3rb3ru5",Nil
googlectf21-hexagon,reverse,"silverf3lix, Freakston",2021-07-17 19:22:24.865000
googlectf21-weather,reverse,"D3v1L, Revathi chundi, Barla Abhishek, imm0rt4l_5t4rk, Vishnu Madhav, 4d0lphu5, Freakston, silverf3lix, h4x5p4c3, bl4ck_Widw, fugitive",Nil
googlectf21-pcivault1,misc,Hyperi0n,Nil
googlectf21-atheris,pwn,"Ritvik, sourag, k1R4, DarkKnight, arsenelupwn, aDHIxx, Nikhil, shravya, Pwn_Solo",Nil
googlectf21-pythia,crypto,"careless_finch, Majin, Abhishek Bharadwaj, Vishvesh, Rithvik, ph03n1x, 2TAP, chandu-kona, Pavani Poluru",Nil
googlectf21-emptyls,web,"careless_finch, Sayooj B Kumar, Aneesh, Rohit Narayanan M, yadhu, Captain-kay, Sk4d00.sh, Srividhya, Az3z3l, Aiswarya, 5up3rn0v4",Nil
googlectf21-memsafety,pwn,"Ritvik, sourag, DarkKnight, arsenelupwn, k1R4, aDHIxx, Nikhil, shravya, Pwn_Solo",Nil
googlectf21-h1,crypto,"Majin, Vishvesh, Abhishek Bharadwaj, careless_finch, ph03n1x, chandu-kona, Rithvik, 2TAP, Pavani Poluru",Nil
googlectf21-filestore,misc,"f4lc0n, d3liri0us",2021-07-18 04:36:30.303000
googlectf21-notcrypto,misc,"a3X3k, Abhishek Bharadwaj, Rithvik, careless_finch, chandu-kona, Rohit Narayanan M, Aneesh, ph03n1x, Pavani Poluru",Nil
googlectf21-gpushop,web,"Rohit Narayanan M, Aneesh, careless_finch, Srividhya, Az3z3l, yadhu, Captain-kay, Aiswarya, Sayooj B Kumar",Nil
googlectf21-story,crypto,"ph03n1x, 2TAP, careless_finch, Rithvik, Abhishek Bharadwaj, Majin, Vishvesh, Pavani Poluru",Nil
googlectf21-ebpf,pwn,"Ritvik, Pwn_Solo, Nikhil, sourag, DarkKnight, shravya, aDHIxx, k1R4, arsenelupwn",Nil
