Challenge Name,Category,Solved/Attempted by,Solve time
hackasat-quals23-ggs,"['crypto', 'misc']",Lu513n,2023-04-01 21:57:51.819000
hackasat-quals23-smash-baby,['pwn'],"tourpran, spektre, fr1gh7",2023-04-02 21:36:00.986000
hackasat-quals23-find_your_center,['misc'],retr0ds,2023-04-02 02:28:46.235000
hackasat-quals23-warning,['pwn'],k1R4,2023-04-02 13:55:34.329000
hackasat-quals23-qam,['crypto'],"dhN, alfin, k1n0r4, Ad0lphus, Hisoka, Z_Pacifist, Azr43lKn1ght, LS, retr0ds, Aneesh, Sans, fr1gh7, tourpran, spektre, L0xm1",Nil
hackasat-quals23-contact,['misc'],"LS, Z_Pacifist, retr0ds, k1n0r4, alfin, Hisoka, Azr43lKn1ght, w3!rd5h4rk, nandita sangeeth, Lu513n, k1R4, sp3p3x",Nil
hackasat-quals23-based_emoji,['misc'],"Azr43lKn1ght, LS, dhN, w3!rd5h4rk, Hisoka, nandita sangeeth, Lu513n, k1R4",Nil
hackasat-quals23-as_below,"['web', 'misc']",dhN,Nil
hackasat-quals23-asbelow,"['reverse', 'misc']","dhN, retr0ds, k1n0r4, Sayooj B Kumar, sk4d, Z_Pacifist, L0xm1, Lu513n, Av4nth1ka, Aneesh, fr1gh7, k1R4, nandita sangeeth, Azr43lKn1ght, alfin",Nil
hackasat-quals23-meet_me_at_the_middleway,['misc'],"Azr43lKn1ght, dhN, retr0ds, L0xm1, k1n0r4, Hisoka, Z_Pacifist, Lu513n, Av4nth1ka, Aneesh, fr1gh7, k1R4, nandita sangeeth, LS, w3!rd5h4rk, alfin",Nil
hackasat-quals23-terraforming_mars,['misc'],"fr1gh7, k1R4",Nil
hackasat-quals23-drop-baby,['pwn'],"tourpran, spektre, fr1gh7",Nil
hackasat-quals23-dashing,['misc'],"Aneesh, LS, Z_Pacifist",2023-04-02 21:55:18.968000
