Challenge Name,Category,Solved/Attempted by,Solve time
hacklu-foodapi,web,"alfin, Z_Pacifist, Aneesh, Lu513n, L0xm1, Av4nth1ka, sk4d, Sayooj B Kumar, yadhu",Nil
hacklu-linearstarter,crypto,LS,2022-10-28 22:26:03.728000
hacklu-jaason,misc,"Azr43lKn1ght, Z_Pacifist, Lu513n, Sabhya, sk4d, Sayooj B Kumar, g4rud4, L0xm1, Aneesh, alfin, Av4nth1ka",Nil
hacklu-riot_at_the_coffeebar,pwn,"spektre, Claire de lune, k1R4, m0rb1u5, Ritvik, DarkKnight",Nil
hacklu-fingerfood,reverse,"retr0ds, Barla Abhishek",2022-10-28 22:41:08.340000
hacklu-faulty_ingredient,crypto,"LS, Abhishek Bharadwaj, dnx, Pavani",Nil
hacklu-placemat,pwn,"DarkKnight, spektre",2022-10-29 15:06:47.927000
hacklu-pazzi,misc,"Z_Pacifist, L0xm1",2022-10-29 16:52:57.882000
hacklu-yummy_gifs,web,"L0xm1, Z_Pacifist, Av4nth1ka, alfin, Aneesh",Nil
hacklu-byor,pwn,"DarkKnight, spektre, k1R4, m0rb1u5, Claire de lune",Nil
hacklu-scrambled_packets,misc,"Lu513n, Aneesh",2022-10-29 21:35:46.757000
hacklu-leakyorders,reverse,"Barla Abhishek, Lu513n, Aneesh, k1n0r4, imm0rt4l_5t4rk, AmunRha, Ad0lphus, Freakston",Nil
hacklu-recipe_vault,crypto,"dnx, LS, Abhishek Bharadwaj",Nil
