Challenge Name,Category,Solved/Attempted by,Solve time
hitcon-quals23-loginsystem,['web'],"ma1f0y_, l0x.me, z_pacifist, avntka, luc_f3r, lu513n, alfin",Nil
hitcon-quals23-not_just_usbpcap,['forensics'],"azr43lkn1ght, sh.4rk, jl911, gh0stkn1ght, sp3p3x",Nil
hitcon-quals23-shared,['crypto'],"ls.exe, hisoka.fr, Sans, dhn5280, 0xd15c0",Nil
hitcon-quals23-canvas,['web'],"l0x.me, lu513n, luc_f3r, avntka, z_pacifist, ma1f0y_, alfin",Nil
hitcon-quals23-amf,"['web', 'misc']","lu513n, l0x.me, z_pacifist, ma1f0y_, alfin, luc_f3r, avntka",Nil
hitcon-quals23-sina,['pwn'],"fr1gh7, spektr.e, _r0r1_, tourpran, justk1r4",Nil
hitcon-quals23-harmony,['web'],"luc_f3r, lu513n, alfin, z_pacifist, l0x.me, ma1f0y_, avntka",Nil
hitcon-quals23-sharers_world,['web'],"luc_f3r, z_pacifist, l0x.me, avntka, lu513n, ma1f0y_, alfin",Nil
hitcon-quals23-maria,['pwn'],"spektr.e, justk1r4, fr1gh7",Nil
hitcon-quals23-lessequalmore,['reverse'],"k1n0r4, ad0lphus",Nil
hitcon-quals23-hitoj-1,['misc'],"ls.exe, azr43lkn1ght, fr1gh7, z_pacifist, l0x.me, avntka, alfin, hisoka.fr, justk1r4, luc_f3r, ma1f0y_, lu513n",Nil
