Challenge Name,Category,Solved/Attempted by,Solve time
hitcon-rsa,crypto,"Abhishek Bharadwaj, a3x3k, Pavani, Barla Abhishek, rayst4rk, careless_finch, 2TAP, Vishvesh_R, fug1t1ve",Nil
hitcon-onebit,web,"Rohit Narayanan M, Aneesh, Sk4d00.sh, yadhu",2021-12-04 18:15:09.234000
hitcon-uml,pwn,"Nikhil, Pwn_Solo, k1R4, fug1t1ve, DarkKnight, shravya, AmunRha, imm0rt4l_5t4rk, Barla Abhishek, Ritvik",Nil
hitcon-babaisrev,reverse,"AmunRha, Barla Abhishek, imm0rt4l_5t4rk, fug1t1ve, bl4ck_Widw, Ad0lphus, Revathi",Nil
hitcon-php,web,"Aneesh, yadhu, Sk4d00.sh, Rohit Narayanan M, a3x3k, Sayooj B Kumar, Az3z3l",Nil
hitcon-vulpixel,web,"yadhu, Sayooj B Kumar",2021-12-05 01:41:56.568000
hitcon-babaismisc,misc,"fug1t1ve, d3liri0us, a3x3k, v1Ru5, P4BLØ, Chetak, AmunRha, Aneesh, Rohit Narayanan M, Sk4d00.sh",Nil
hitcon-fbiwarning,misc,"Aneesh, a3x3k, Sk4d00.sh, Sayooj B Kumar",Nil
hitcon-cclemon,reverse,"AmunRha, Barla Abhishek, Ad0lphus, Revathi, fug1t1ve",Nil
hitcon-littlersa,crypto,"careless_finch, Abhishek Bharadwaj, a3x3k",Nil
