Challenge Name,Category,Solved/Attempted by,Solve time
hitcon22-rce,web,"Lu513n, Aneesh, sk4d, alfin, Z_Pacifist",2022-11-25 21:00:22.583000
hitcon22-lemminx,misc,"Azr43lKn1ght, Sabhya, k1R4, nandita sangeeth, fr1gh7, spektre",Nil
hitcon22-checker,reverse,"retr0ds, Barla Abhishek, AmunRha, k1n0r4",2022-11-27 13:48:34.395000
hitcon22-babysss,crypto,Abhishek Bharadwaj,2022-11-27 19:06:18.844000
hitcon22-fourchain,pwn,"DarkKnight, spektre, k1R4",2022-11-27 16:23:35.919000
hitcon22-easyntru,crypto,"Hisoka, 4n4rch15t",Nil
hitcon22-paste,web,"sk4d, victim1307, LS, Aneesh, 4n4rch15t, Av4nth1ka, L0xm1, Z_Pacifist, yadhu, Lu513n, Hisoka, alfin, Pavani, Abhishek Bharadwaj",Nil
hitcon22-meow,reverse,Barla Abhishek,2022-11-26 08:21:02.988000
hitcon22-kernel,pwn,k1R4,Nil
hitcon22-yeeclass,web,"L0xm1, Aneesh, alfin, Av4nth1ka",2022-11-26 16:30:09.170000
hitcon22-sdm,web,"sk4d, Av4nth1ka, L0xm1, Z_Pacifist, Lu513n, alfin",Nil
hitcon22-web2pdf,web,"L0xm1, Av4nth1ka, Z_Pacifist, Lu513n, alfin, sk4d, Aneesh, yadhu",Nil
hitcon22-void,misc,"alfin, k1R4, L0xm1, Z_Pacifist, sk4d",Nil
hitcon22-wtfshell,pwn,"k1R4, spektre, fr1gh7, DarkKnight",Nil
hitcon22-secret,crypto,"LS, 4n4rch15t, Abhishek Bharadwaj, Pavani, Hisoka",Nil
