Challenge Name,Category,Solved/Attempted by,Solve time
hitconctf24-private-browsing,['web'],"k0w4lzk1, h3ri0s, winters0x168, alfin3313, avntka, ma1f0y_, z_pacifist, lu513n, sayoojbkumar, luc_f3r, sk4d, .d_pro",Nil
hitconctf24-seccomp-hell,['pwn'],"justk1r4, heartstoller, _r0r1_, tourpran, theb4tmite, silence_, spektr.e",Nil
hitconctf24-revisual,['reverse'],"the.m3chanic, sherlockcheezu, retr0ds, k1n0r4, jatin.exe, sp3p3x, heartstoller",Nil
hitconctf24-zkpof,['crypto'],"___apn___, ls.exe, sans8475, abhishekbharadwaj, aerosol., hisoka.fr",Nil
hitconctf24-v8-sbx,['pwn'],"tourpran, heartstoller, silence_, spektr.e, justk1r4, _r0r1_, theb4tmite",Nil
hitconctf24-eaas,['web'],"alfin3313, k0w4lzk1, h3ri0s, winters0x168, ma1f0y_, lu513n, z_pacifist, sayoojbkumar, 570rmbreaker, avntka, luc_f3r",Nil
hitconctf24-antivirus,['reverse'],"retr0ds, the.m3chanic, jl_24, sp3p3x, heartstoller, gh0stkn1ght, azr43lkn1ght, jatin.exe",Nil
hitconctf24-pcbc_revenge,['crypto'],"___apn___, sans8475, jl_24",Nil
hitconctf24-setjmp,['pwn'],_r0r1_,2024-07-13 21:36:04.994000
hitconctf24-penguin_and_crab,['reverse'],"k1n0r4, retr0ds, sherlockcheezu, the.m3chanic",Nil
hitconctf24-brokenshare,['crypto'],"sans8475, ___apn___, ls.exe, hisoka.fr",Nil
hitconctf24-flagreader,['misc'],"sans8475, silence_, k0w4lzk1, __m1m1__, kr4z31n, 570rmbreaker, theb4tmite, ___apn___, gh0stkn1ght, sp3p3x, heartstoller, jl_24, _r0r1_, tourpran",Nil
hitconctf24-no-exit-room,['web'],570rmbreaker,2024-07-14 09:12:20.231000
hitconctf24-rclone,['web'],"winters0x168, k0w4lzk1",Nil
hitconctf24-pws-1,['web'],".d_pro, 570rmbreaker",Nil
