Challenge Name,Category,Solved/Attempted by,Solve time
htbcactf-trapped_source,['web'],"Winters, AdithyaRaj",2023-03-18 18:41:30.182000
htbcactf-questionnaire,['pwn'],rori,2023-03-18 19:28:12.413000
htbcactf-shattered_tablet,['reverse'],Sherlock Cheezu,2023-03-18 19:16:33.060000
htbcactf-gunhead,['web'],"Winters, AdithyaRaj",2023-03-18 19:16:43.228000
htbcactf-sheshells,['reverse'],"th3mech4n1c, Sherlock Cheezu, Sans",2023-03-18 21:42:17.104000
htbcactf-drobots,['web'],"AdithyaRaj, Winters",2023-03-18 19:35:18.012000
htbcactf-ancientencodings,['crypto'],Sans,2023-03-19 00:43:23.020000
htbcactf-needle,['reverse'],th3mech4n1c,2023-03-18 22:41:23.247000
htbcactf-passman,['web'],"AdithyaRaj, Winters",2023-03-18 22:55:23.155000
htbcactf-license,['reverse'],"th3mech4n1c, Sherlock Cheezu",2023-03-18 21:24:29.582000
htbcactf-labyrinth,['pwn'],rori,2023-03-18 22:59:17.572000
htbcactf-cavesystem,['reverse'],"th3mech4n1c, AgentP",2023-03-19 11:02:45.473000
htbcactf-pandoras_box,['pwn'],"rori, tourpran",2023-03-20 15:31:14
htbcactf-void,['pwn'],"tourpran, spektre",2023-03-19 03:02:10.641000
htbcactf-alien,['reverse'],"k1n0r4, retr0ds, dhN, AgentP, Sherlock Cheezu, AmunRha, th3mech4n1c",Nil
htbcactf-orbital,['web'],Bugwatch,2023-03-19 12:51:13.068000
htbcactf-smallsteps,['crypto'],"APN, Sans, d1sc0",2023-03-18 19:27:20.581000
htbcactf-dsp,['reverse'],"th3mech4n1c, Sherlock Cheezu",2023-03-22 18:08:28.350000
htbcactf-didactic_octo_paddles,['web'],Bugwatch,2023-03-19 21:02:53.199000
htbcactf-perfectsynchronization,['crypto'],"Sans, APN, d1sc0",2023-03-19 04:56:57.783000
htbcactf-kana,['pwn'],"spektre, tourpran, k1R4, dhN, rori, DarkKnight, shravya, fr1gh7",Nil
htbcactf-vessel,['reverse'],"retr0ds, AmunRha",2023-03-23 04:18:56.789000
htbcactf-control_room,['pwn'],"tourpran, k1R4",2023-03-20 20:26:38.718000
htbcactf-spybug,['web'],"Winters, AdithyaRaj",2023-03-21 20:31:11.171000
htbcactf-linear,['reverse'],rori,2023-03-20 23:56:02.596000
htbcactf-math_door,['pwn'],k1R4,2023-03-22 00:00:07.676000
htbcactf-signal,['reverse'],"k1n0r4, retr0ds, dhN, Sherlock Cheezu, th3mech4n1c",Nil
htbcactf-unearthly_shop,['web'],"Z_Pacifist, L0xm1, Av4nth1ka, dhN, Aneesh, AdithyaRaj, sk4d, Winters",Nil
htbcactf-runic,['pwn'],"k1R4, sourag",2023-03-22 19:51:10.166000
htbcactf-traptrack,['web'],Winters,2023-03-22 21:47:17.490000
htbcactf-multipage_recyclings,['crypto'],Sans,2023-03-19 02:27:15.815000
htbcactf-rotten,['forensics'],"sp3p3x, Jl, B1u33, gh0stkn1ght",2023-03-20 00:43:10.684000
htbcactf-inside_the_matrix,['crypto'],"d1sc0, Sans, APN",2023-03-19 16:57:42.434000
htbcactf-interstellar_c2,['forensics'],"Azr43lKn1ght, w3!rd5h4rk, dhN, gh0stkn1ght, sp3p3x, Jl, B1u33, stuxn3t, nandita sangeeth",Nil
htbcactf-bashic_ransomware,['forensics'],"sp3p3x, Azr43lKn1ght, w3!rd5h4rk, gh0stkn1ght, Jl, B1u33",2023-03-21 21:35:17.341000
htbcactf-colliding_heritage,['crypto'],Sans,2023-03-21 20:23:59.881000
htbcactf-elliptic_labyrinth,['crypto'],"Sans, d1sc0",2023-03-20 21:10:26.263000
htbcactf-biased_heritage,['crypto'],"LS, Hisoka, Sans, APN, d1sc0, dhN",Nil
htbcactf-converging_visions,['crypto'],"LS, Hisoka, Sans, d1sc0, dhN",Nil
htbcactf-persistence,['misc'],sp3p3x,2023-03-18 21:13:42.948000
htbcactf-hijack,['misc'],Winters,2023-03-20 17:09:30.761000
htbcactf-packet_cyclone,['forensics'],"sp3p3x, Jl",2023-03-20 14:35:39.825000
htbcactf-relic-maps,['forensics'],"B1u33, sp3p3x, gh0stkn1ght, Jl",2023-03-21 21:27:39.323000
htbcactf-pandoras_bane,['forensics'],"Azr43lKn1ght, gh0stkn1ght, stuxn3t, sp3p3x, w3!rd5h4rk, B1u33, Jl, nandita sangeeth",Nil
htbcactf-last_hope,['misc'],Winters,2023-03-20 15:33:01.121000
htbcactf-elliptic_labyrinth_revenge,['crypto'],"LS, Hisoka, dhN, Sans",Nil
htbcactf-remote_computation,['misc'],"rori, Winters",2023-03-21 13:33:27.671000
htbcactf-artifacts_of_dangerous_sightings,['forensics'],"Azr43lKn1ght, sp3p3x, Jl, gh0stkn1ght, B1u33, w3!rd5h4rk, nandita sangeeth",Nil
htbcactf-chasms_crossing,['misc'],"tourpran, rori",2023-03-22 18:28:38.837000
htbcactf-nehebkaus_trap,['misc'],tourpran,2023-03-22 19:05:25.281000
htbcactf-restricted,['misc'],tourpran,Nil
htbcactf-navigating_the_unknown,['misc'],"Z_Pacifist, spektre, LS",2023-03-23 16:55:40.795000
htbcactf-shooting_101,['misc'],"spektre, Z_Pacifist",Nil
