Challenge Name,Category,Solved/Attempted by,Solve time
htbunictf22-spellbook,pwn,spektre,2022-12-03 15:34:37.907000
htbunictf22-magic_informer,web,Z_Pacifist,2022-12-02 19:48:00.835000
htbunictf22-spell,web,"L0xm1, Av4nth1ka, Z_Pacifist, Aneesh, Lu513n, sk4d, alfin",Nil
htbunictf22-batchcraft,web,"L0xm1, Av4nth1ka, Z_Pacifist, sk4d, Aneesh, Lu513n, alfin, Rav3nf0",Nil
htbunictf22-bank-er-smith,crypto,"LS, victim1307, Hisoka",2022-12-02 21:02:22.695000
htbunictf22-sacred_scrolls,pwn,k1R4,2022-12-02 20:04:08.073000
htbunictf22-wizards_diary,pwn,"spektre, Claire de lune, k1R4, fr1gh7, shravya, DarkKnight",Nil
htbunictf22-potion_master,reverse,"retr0ds, Barla Abhishek, k1n0r4",2022-12-02 22:02:40.922000
htbunictf22-curse_breaker,reverse,"retr0ds, Barla Abhishek",2022-12-03 01:40:11.927000
htbunictf22-speel_weave,reverse,retr0ds,Nil
htbunictf22-spell_weave,reverse,"retr0ds, k1n0r4, Ad0lphus, Freakston",Nil
htbunictf22-fake_news,forensics,"Z_Pacifist, Azr43lKn1ght, Sabhya",2022-12-02 21:18:06.541000
htbunictf22-aeswcm,crypto,LS,2022-12-03 00:34:39.879000
htbunictf22-one_of_us,forensics,"Sabhya, Azr43lKn1ght, g4rud4",Nil
htbunictf22-abracryptabra,crypto,"LS, victim1307, Hisoka, Pavani, 4n4rch15t, Abhishek Bharadwaj",Nil
htbunictf22-side_spell,forensics,"Azr43lKn1ght, Sabhya, nandita sangeeth, g4rud4",Nil
