Challenge Name,Category,Solved/Attempted by,Solve time
hxpctf22-yor,['crypto'],"Lu513n, Aneesh, Z_Pacifist, sk4d, dhN, LS, victim1307, Hisoka, Abhishek Bharadwaj",2023-03-11 22:44:56.124000
hxpctf22-valentine,['web'],"Z_Pacifist, Aneesh, sk4d, Lu513n",2023-03-11 00:29:39.813000
hxpctf22-secure_flag_dispenser,"['misc', 'reverse', 'crypto']","Azr43lKn1ght, w3!rd5h4rk, k1R4, spektre, f4lc0n, Ad0lphus, Freakston, retr0ds, k1n0r4, AmunRha, 4sh, Aneesh, dhN, chandu-kona, Abhishek Bharadwaj, victim1307, Hisoka, LS, fr1gh7",Nil
hxpctf22-shadertoy_plus_plus,['pwn'],"spektre, k1R4, fr1gh7",Nil
hxpctf22-archive,"['web', 'misc']","Lu513n, Aneesh, sk4d",2023-03-11 03:29:53.706000
hxpctf22-linearcode,['reverse'],Ad0lphus,Nil
hxpctf22-true_web_assembly,['web'],"Aneesh, f4lc0n, Lu513n, L0xm1, Av4nth1ka, alfin, Z_Pacifist, sk4d",Nil
hxpctf22-hypersecure,['pwn'],"k1R4, spektre, fr1gh7",Nil
hxpctf22-sqlite,['web'],"Aneesh, Lu513n, sk4d, k1R4, Z_Pacifist, alfin",2023-03-12 21:05:14.467000
hxpctf22-required,"['reverse', 'web']","AmunRha, Aneesh, Lu513n, k1n0r4",2023-03-12 18:17:42.053000
hxpctf22-one_byte,['pwn'],k1R4,Nil
hxpctf22-whistler,['crypto'],"Hisoka, LS, dhN, victim1307",Nil
