Challenge Name,Category,Solved/Attempted by,Solve time
iitbctf-ssiwp1,['web'],"ma1f0y_, lu513n",2023-09-22 19:43:10.983000
iitbctf-everythingeverywhere,['web'],"lu513n, z_pacifist, ma1f0y_",2023-09-22 20:17:36.171000
iitbctf-rsa_party,['crypto'],Sans,2023-09-23 05:33:42.444000
iitbctf-srop,['pwn'],"spektr.e, tourpran, _r0r1_, justk1r4",2023-09-22 19:20:28.572000
iitbctf-find_find,['misc'],"amunrha, tourpran, azr43lkn1ght, _r0r1_, the_mechanic__",2023-09-22 20:21:16.593000
iitbctf-dont_save_me_a_spot,['crypto'],"hisoka.fr, ls.exe",2023-09-22 18:29:46.026000
iitbctf-runas,['misc'],"ls.exe, justk1r4",2023-09-22 18:12:51.112000
iitbctf-कटप्पायदी-बाहुबली-को,['misc'],"Sans, retr0ds, gh0stkn1ght, shinobu5005, avntka, k1n0r4, hridhya, sh.4rk, azr43lkn1ght, justk1r4, lu513n, ma1f0y_, tourpran, _r0r1_, jl911, _b1u33, luc_f3r, winters.ggs, 0xd15c0, z_pacifist",Nil
iitbctf-banarasi_paan,['misc'],"winters.ggs, tourpran, azr43lkn1ght, gh0stkn1ght, Sans",2023-09-22 21:06:40.937000
iitbctf-asterisk,['misc'],"justk1r4, z_pacifist",2023-09-22 19:09:17.430000
