Challenge Name,Category,Solved/Attempted by,Solve time
ironctf-team2-math_gone_wrong,['misc'],kr4z31n,2024-10-05 11:52:15.297000
ironctf-team2-game_of_hunt,['forensics'],"kr4z31n, k0w4lzk1",2024-10-06 01:48:48.567000
ironctf-team2-loanapp,['web'],k0w4lzk1,2024-10-06 02:49:01.416000
ironctf-team2-cereal,['web'],k0w4lzk1,2024-10-06 02:48:59.681000
ironctf-team2-random_pixels,['forensics'],"kr4z31n, kr4z31n, k0w4lzk1, theb4tmite, aerosol.",2024-10-05 15:16:29.866000
ironctf-team2-loginsim,['pwn'],"theb4tmite, kr4z31n, k0w4lzk1, gh0stkn1ght",Nil
ironctf-team2-1nf1n1ty_shop,['pwn'],"theb4tmite, kr4z31n, k0w4lzk1, gh0stkn1ght",Nil
ironctf-team2-simple_notes,['pwn'],theb4tmite,2024-10-06 02:50:06.756000
ironctf-team2-hopper,['pwn'],"theb4tmite, kr4z31n, k0w4lzk1, gh0stkn1ght",Nil
ironctf-team2-algera_exam,['crypto'],aerosol.,2024-10-05 23:27:58.144000
ironctf-team2-rsa,['crypto'],aerosol.,2024-10-05 15:53:17.790000
ironctf-team2-rsa_2,['crypto'],aerosol.,2024-10-05 22:35:12.424000
ironctf-team2-movie-review,['web'],"k0w4lzk1, theb4tmite, kr4z31n",Nil
ironctf-team2-same_but_different,['misc'],"aerosol., kr4z31n, k0w4lzk1, theb4tmite",2024-10-06 04:06:56.664000
ironctf-team2-b64siteviewer,['web'],"k0w4lzk1, kr4z31n",2024-10-06 02:48:50.768000
ironctf-team2-mango,['web'],"k0w4lzk1, kr4z31n",2024-10-06 02:48:48.525000
ironctf-team2-movieviewer,['web'],"k0w4lzk1, theb4tmite, kr4z31n",Nil
ironctf-team2-dantzig,['crypto'],aerosol.,2024-10-06 02:41:29.921000
ironctf-team2-minecraft_cipher,['crypto'],"aerosol., ___apn___, theb4tmite, kr4z31n",Nil
ironctf-team2-backdoor,['crypto'],"aerosol., ___apn___, theb4tmite, kr4z31n",Nil
ironctf-team2-teller_mo,['crypto'],"aerosol., ___apn___, theb4tmite, kr4z31n",Nil
ironctf-team2-johns_stones,['misc'],"kr4z31n, k0w4lzk1, theb4tmite",2024-10-06 02:14:34.750000
ironctf-team2-beautiful-fortress,['osint'],"theb4tmite, k0w4lzk1, kr4z31n",Nil
ironctf-team2-introspection,['misc'],theb4tmite,2024-10-06 02:52:09.607000
ironctf-team2-8ball,['forensics'],kr4z31n,Nil
