Challenge Name,Category,Solved/Attempted by,Solve time
isidtu22-halloweens_magix,crypto,"LS, 4n4rch15t, Hisoka",2022-11-12 11:29:08.320000
isidtu22-sanity,reverse,"retr0ds, AmunRha, Barla Abhishek, k1n0r4",2022-11-12 22:01:58.719000
isidtu22-upload,web,"Z_Pacifist, alfin, Av4nth1ka, L0xm1, Aneesh",2022-11-12 19:46:35.490000
isidtu22-t1m3,forensics,"Azr43lKn1ght, Aneesh, Sabhya, Z_Pacifist, Hisoka, LS",2022-11-12 13:10:45.824000
isidtu22-no_sandbox,web,Aneesh,2022-11-12 16:34:30.644000
isidtu22-glitch_in_the_matrix,crypto,"4n4rch15t, Hisoka, Abhishek Bharadwaj, LS, Pavani",Nil
isidtu22-nft_idor,pwn,"Claire de lune, k1R4, spektre, shravya, DarkKnight",Nil
isidtu22-pwn01,pwn,"k1R4, DarkKnight, spektre",2022-11-13 09:30:02.249000
isidtu22-dceasedxxiv,misc,LS,2022-11-12 14:01:19.428000
isidtu22-find,misc,"Sabhya, Azr43lKn1ght, Hisoka, LS",2022-11-13 00:42:39.137000
isidtu22-dogbarksdogbites,reverse,"Ad0lphus, Barla Abhishek, k1n0r4, retr0ds, AmunRha",Nil
isidtu22-baby_client,web,"Z_Pacifist, Av4nth1ka, Aneesh, alfin, sk4d, Lu513n, L0xm1",Nil
isidtu22-dp,crypto,"LS, Abhishek Bharadwaj, Hisoka, 4n4rch15t",2022-11-13 02:58:17.676000
isidtu22-teleport,reverse,"k1n0r4, AmunRha, Ad0lphus, Barla Abhishek, retr0ds",Nil
isidtu22-the_fear_of_sherlock,misc,"Sabhya, Azr43lKn1ght, Hisoka, LS, 4n4rch15t, k1R4, spektre, L0xm1, AmunRha, Av4nth1ka, Claire de lune, Z_Pacifist, k1n0r4, Aneesh, Abhishek Bharadwaj, victim1307",Nil
isidtu22-pwn02,pwn,k1R4,2022-11-13 00:55:25.509000
isidtu22-rev_for_fun,reverse,AmunRha,2022-11-13 08:17:51.187000
isidtu22-xorfactory,crypto,AmunRha,2022-11-13 08:29:14.843000
isidtu22-rename,pwn,"k1R4, spektre, Claire de lune",2022-11-13 09:27:09.101000
