Challenge Name,Category,Solved/Attempted by,Solve time
isitdtufinals22-classic,crypto,"victim1307, LS, 4n4rch15t, Abhishek Bharadwaj, Hisoka, b4b7gr00t, AmunRha, g4rud4",Nil
isitdtufinals22-detective,misc,"Azr43lKn1ght, Sabhya, fr1gh7, Z_Pacifist, Lu513n, k1R4, L0xm1, k1n0r4, spektre, Av4nth1ka, nandita sangeeth, 4n4rch15t, LS, AmunRha, g4rud4",Nil
isitdtufinals22-game,pwn,"k1R4, fr1gh7, spektre, AmunRha, g4rud4",Nil
isitdtufinals22-parse_server,web,"Z_Pacifist, Lu513n, alfin, Aneesh, Av4nth1ka, L0xm1, sk4d, AmunRha, g4rud4",Nil
isitdtufinals22-l34k,misc,"Azr43lKn1ght, Sabhya, fr1gh7, nandita sangeeth, L0xm1, spektre, Aneesh, Av4nth1ka, alfin, AmunRha, g4rud4",Nil
isitdtufinals22-sussy_rsa,crypto,"victim1307, LS, 4n4rch15t, Abhishek Bharadwaj, Hisoka, b4b7gr00t, chandu-kona, AmunRha, g4rud4",Nil
isitdtufinals22-honeypot,web,"Z_Pacifist, Lu513n",2022-12-18 08:09:51.147000
isitdtufinals22-nuclear_launch_detected,reverse,"Azr43lKn1ght, retr0ds, Barla Abhishek, k1n0r4, Ad0lphus, Z_Pacifist, AmunRha, g4rud4",Nil
isitdtufinals22-slow,reverse,k1R4,2022-12-18 08:17:32.873000
isitdtufinals22-another,misc,"Azr43lKn1ght, Sabhya, nandita sangeeth, spektre, AmunRha, g4rud4",Nil
isitdtufinals22-tig,web,"Z_Pacifist, sk4d, Av4nth1ka, alfin, Aneesh, Lu513n, L0xm1, AmunRha, g4rud4",Nil
isitdtufinals22-whitelist,pwn,"k1R4, fr1gh7, spektre, AmunRha, g4rud4",Nil
isitdtufinals22-pnnng,web,"Lu513n, alfin, L0xm1, Av4nth1ka, Aneesh, Z_Pacifist, AmunRha, g4rud4",Nil
