Challenge Name,Category,Solved/Attempted by,Solve time
justctf23-mango,['reverse'],"k1n0r4, th3mech4n1c",2023-06-04 23:23:24.335000
justctf23-essampt,['web'],"Winters, sk4d, Lu513n, Luc1f3r, Aneesh, Z_Pacifist, Av4nth1ka, Cap-k",Nil
justctf23-multi_auth,['crypto'],"APN, Sans, d1sc0",Nil
justctf23-ecc_for_dummies,['misc'],"B1u33, APN, gh0stkn1ght",2023-06-03 16:01:53.106000
justctf23-welcome_in_my_house,['pwn'],tourpran,2023-06-03 13:45:36.563000
justctf23-dangerous,['web'],"Aneesh, Lu513n",2023-06-04 16:15:02.085000
justctf23-tic-tac,['pwn'],"k1R4, tourpran, sourag, fr1gh7, rori, ath3n1x",Nil
justctf23-extra_safe_security_layers,['web'],"Aneesh, Lu513n",2023-06-03 15:39:49.527000
justctf23-vaulted,['crypto'],"APN, d1sc0, LS, Sans, Abhishek Bharadwaj",Nil
justctf23-nucleus,['pwn'],tourpran,2023-06-04 19:19:21.789000
justctf23-almostfinished,['web'],"Lu513n, Aneesh, sk4d, L0xm1, Cap-k, Av4nth1ka",Nil
justctf23-secure_db,['misc'],"gh0stkn1ght, B1u33, sp3p3x, Cap-k, Av4nth1ka",Nil
justctf23-mystery-locker,['pwn'],"k1R4, ath3n1x, rori, spektre, fr1gh7, tourpran",Nil
justctf23-perfect_product,['web'],"Lu513n, Aneesh, Av4nth1ka, alfin",Nil
justctf23-rustberry,['reverse'],"Sherlock Cheezu, k1n0r4",2023-06-05 01:41:28.993000
justctf23-ecc_not_only_for_dummies,['misc'],"B1u33, APN, gh0stkn1ght, d1sc0",Nil
