Challenge Name,Category,Solved/Attempted by,Solve time
m0lecon-keys,misc,d3liri0us,2021-05-14 23:32:55.090000
m0lecon-luckyfail,web,"Az3z3l, Sayooj B Kumar, yadhu, Captain-kay",2021-05-15 00:04:29.294000
m0lecon-babysign,crypto,Vishvesh,2021-05-14 23:50:09.282000
m0lecon-alchemy,pwn,"Pwn_Solo, Ritvik, sourag",2021-05-15 03:46:29.854000
m0lecon-automatic,reverse,"Vishnu Madhav, Barla Abhishek, Freakston, D3v1L, fugitive, V!p3r, f4lc0n, 4d0lphu5, Revathi chundi, silverf3lix, AmunRha",Nil
m0lecon-login,pwn,DarkKnight,2021-05-15 13:41:01.676000
m0lecon-obscurity,crypto,"Majin, Vishvesh, 2TAP, aniketm_, careless_finch, V0ld3m0rt, chandu-kona, Abhishek Bharadwaj, Rithvik, f4lc0n",Nil
m0lecon-m0lefans,web,"Az3z3l, Sayooj B Kumar, yadhu, Captain-kay",2021-05-15 12:32:19.236000
m0lecon-alternating-key-exchange,crypto,Abhishek Bharadwaj,Nil
m0lecon-leftorright,misc,"g4rud4, Goutham Rajesh, a3X3k, V!p3r, d3liri0us, aniketm_, v4d3r, chandu-kona, Vishvesh, D3v1L, Vishnu Madhav",Nil
m0lecon-waffle,web,"Az3z3l, Captain-kay, yadhu, Sayooj B Kumar",2021-05-15 18:20:45.618000
m0lecon-petamorph,reverse,"D3v1L, Freakston, Barla Abhishek, Vishnu Madhav, fugitive, AmunRha, 4d0lphu5, Revathi chundi",Nil
m0lecon-m0lang,reverse,R3x,2021-05-15 13:11:49.679000
m0lecon-parallel,reverse,"fugitive, Barla Abhishek, D3v1L, Vishnu Madhav, AmunRha, v4d3r, 4d0lphu5, Freakston, Revathi chundi",Nil
m0lecon-anotherlogin,pwn,DarkKnight,2021-05-15 13:54:18.615000
m0lecon-punch,pwn,"Pwn_Solo, DarkKnight, sourag, k1R4, Ritvik",Nil
m0lecon-donut,pwn,"DarkKnight, sourag, Ritvik",2021-05-15 15:55:40.779000
