Challenge Name,Category,Solved/Attempted by,Solve time
maplectf23-blade_runner,['web'],"winters.ggs, alfin, ma1f0y_, lu513n",2023-09-30 11:25:43.446000
maplectf23-tetrominobot,['pwn'],"tourpran, justk1r4, _r0r1_, spektr.e, fr1gh7",Nil
maplectf23-c-jail,['misc'],"gh0stkn1ght, jl911, azr43lkn1ght",Nil
maplectf23-db,['pwn'],"tourpran, _r0r1_, fr1gh7, alfin, lu513n, ma1f0y_, winters.ggs, z_pacifist, justk1r4",Nil
maplectf23-jujutsu_kaisen,['web'],"lu513n, ma1f0y_",2023-09-30 12:05:21.473000
maplectf23-javiescript,['reverse'],"lu513n, ma1f0y_, l0x.me, avntka, k1n0r4, z_pacifist, amunrha, alfin, the_mechanic__, retr0ds",Nil
maplectf23-data_explorer,['web'],"l0x.me, ma1f0y_, winters.ggs, avntka, lu513n, z_pacifist, alfin, luc_f3r",Nil
maplectf23-baby_rev,['reverse'],k1n0r4,2023-09-30 13:13:48.006000
maplectf23-pen_and_paper,['crypto'],"0xd15c0, ___apn___, hisoka.fr, Sans, abhishekbharadwaj, dhn5280, victim1307, aparna_11",Nil
maplectf23-coin_flip,['misc'],"gh0stkn1ght, sp3p3x, _r0r1_, azr43lkn1ght, spektr.e, jl911, _b1u33",Nil
maplectf23-tarpit,['reverse'],"retr0ds, k1n0r4",2023-09-30 17:50:33.284000
maplectf23-jujutsu_kaisen2,['web'],"ma1f0y_, lu513n, alfin, avntka, l0x.me, z_pacifist, luc_f3r, winters.ggs",Nil
maplectf23-mostly_harmless,['reverse'],"the_mechanic__, amunrha, k1n0r4, retr0ds",Nil
maplectf23-fraudulent,['crypto'],Sans,Nil
maplectf23-handshake,['crypto'],"Sans, 0xd15c0, ___apn___, dhn5280",Nil
maplectf23-lost-in-space,['pwn'],"tourpran, _r0r1_, justk1r4",2023-10-01 23:04:43.210000
