Challenge Name,Category,Solved/Attempted by,Solve time
midnightsun23-whistle,['misc'],"w3!rd5h4rk, Azr43lKn1ght",2023-04-08 17:59:43.847000
midnightsun23-findianajones,['web'],"Lu513n, L0xm1, sk4d, Z_Pacifist, Av4nth1ka, Aneesh, ray9987, alfin, yadhu, Sayooj B Kumar",Nil
midnightsun23-spd-a,['pwn'],tourpran,2023-04-08 20:49:30.004000
midnightsun23-matchmaker,['web'],"Z_Pacifist, Lu513n",2023-04-09 00:20:00.726000
midnightsun23-meme-control,['pwn'],k1R4,2023-04-08 18:55:14.668000
midnightsun23-opensource,['reverse'],"k1n0r4, retr0ds, th3mech4n1c, AmunRha, Ad0lphus, Sherlock Cheezu",Nil
midnightsun23-runeme,['misc'],"w3!rd5h4rk, Azr43lKn1ght, gh0stkn1ght, B1u33, nandita sangeeth, sp3p3x, dhN, Z_Pacifist, Lu513n, L0xm1, k1R4",Nil
midnightsun23-pyttemjuk,['pwn'],k1R4,2023-04-08 20:02:50.082000
midnightsun23-scaas,['pwn'],"spektre, k1R4",2023-04-09 11:48:34.603000
midnightsun23-fact_check,['crypto'],"Hisoka, dhN, w3!rd5h4rk, nandita sangeeth, Azr43lKn1ght, Abhishek Bharadwaj",Nil
midnightsun23-mt_random,['crypto'],Lu513n,2023-04-09 16:05:55.997000
midnightsun23-mouldylocks,['web'],"Lu513n, L0xm1, Z_Pacifist, Av4nth1ka, Aneesh, ray9987, sk4d, Sayooj B Kumar",Nil
midnightsun23-triptonowhere,['web'],"Z_Pacifist, Lu513n",2023-04-09 01:36:53.875000
midnightsun23-spd-d,['pwn'],k1R4,2023-04-09 13:46:02.486000
midnightsun23-spd-b,['pwn'],spektre,2023-04-09 14:17:52.735000
midnightsun23-spd-c,['pwn'],"tourpran, k1R4, spektre",Nil
