Challenge Name,Category,Solved/Attempted by,Solve time
midnightsunquals21-soaringdisco,web,"Az3z3l, yadhuz, Captain-kay, Sayooj_B_Kumar",2021-04-10 21:28:44.527000
midnightsunquals21-ocat_024,crypto,"V0ld3m0rt, Majin, Vishvesh, careless_finch, v4d3r, chandu-kona, aniketm_, ashutosha, DarkKnight",Nil
midnightsunquals21-shapes,pwn,"DarkKnight, sourag, Pwn_Solo, Ritvik",2021-04-10 16:02:04.384000
midnightsunquals21-society,pwn,"Ritvik, sourag, Pwn_Solo, DarkKnight, f4lc0n, Captain-kay, Az3z3l, Sayooj_B_Kumar, yadhuz, D3v1L, careless_finch, Sk4d00.sh, AmunRha, cjunior, Vishvesh",Nil
midnightsunquals21-blueberry,reverse,"d3liri0us, aniketm_, fugitive, Vishvesh, Freakston",2021-04-10 22:33:46.036000
midnightsunquals21-hammer,pwn,"Ritvik, sourag, Pwn_Solo, arsenelupwn, DarkKnight, careless_finch",Nil
midnightsunquals21-flashout,forensics,"g4rud4, f4lc0n, d3liri0us, DarkKnight, careless_finch",Nil
midnightsunquals21-signalino,forensics,"g4rud4, f4lc0n, d3liri0us, Freakston, AmunRha, DarkKnight, careless_finch",Nil
midnightsunquals21-inbitsandpieces,forensics,"g4rud4, f4lc0n, d3liri0us, DarkKnight, careless_finch",Nil
midnightsunquals21-geanu,reverse,akulpillai,2021-04-09 22:59:07.600000
midnightsunquals21-dbcsig,crypto,"ashutosha, careless_finch, Vishvesh, Majin, chandu-kona, DarkKnight",Nil
midnightsunquals21-labyrevnt,reverse,"fugitive, Freakston, akulpillai, D3v1L, Vishnu Madhav",2021-04-10 06:28:43.760000
midnightsunquals21-hideandseek,forensics,"g4rud4, f4lc0n, d3liri0us, DarkKnight, careless_finch",Nil
midnightsunquals21-murmur,reverse,"Freakston, D3v1L, AmunRha, Vishnu Madhav",2021-04-10 01:44:00.989000
midnightsunquals21-corporatemfa,web,"Sayooj_B_Kumar, yadhuz, Az3z3l",2021-04-10 01:32:58.938000
midnightsunquals21-bob_b,crypto,careless_finch,2021-04-10 01:38:04.103000
midnightsunquals21-craig_b,crypto,"careless_finch, DarkKnight",Nil
midnightsunquals21-alice_b,crypto,careless_finch,2021-04-10 01:38:30.886000
midnightsunquals21-over9k,reverse,"silverf3lix, Freakston, D3v1L, Vishnu Madhav, fugitive, AmunRha, imm0rt4l_5t4rk, DarkKnight, careless_finch",Nil
midnightsunquals21-frank_b,crypto,"careless_finch, ashutosha, V0ld3m0rt",2021-04-10 17:18:02.281000
midnightsunquals21-gurburk,misc,Az3z3l,2021-04-10 15:47:29.595000
midnightsunquals21-twilight,misc,"cjunior, DarkKnight, careless_finch",Nil
midnightsunquals21-flagcontroller,reverse,"cjunior, silverf3lix, fugitive, Hyp3ri0n, m1nat0, aniketm_, Ranit, Vishvesh, DarkKnight, careless_finch",Nil
