Challenge Name,Category,Solved/Attempted by,Solve time
n1ctf22-txt,misc,Z_Pacifist,2022-11-05 15:30:39.980000
n1ctf22-n1oj-warmup,misc,Claire de lune,Nil
n1ctf22-n1oj-pwn,pwn,"Claire de lune, k1R4, spektre",Nil
n1ctf22-easy_s2,web,"Z_Pacifist, Aneesh, sk4d",2022-11-05 20:35:34.185000
n1ctf22-modern,pwn,"k1R4, spektre, Claire de lune, fr1gh7",Nil
n1ctf22-brand_new_checkin,crypto,"LS, Hisoka, Pavani, Abhishek Bharadwaj, victim1307",Nil
n1ctf22-easymaze,misc,"Azr43lKn1ght, Sabhya, nandita sangeeth, fr1gh7, Aneesh, Lu513n, LS, Z_Pacifist, Hisoka, spektre, k1R4",Nil
n1ctf22-functional,reverse,"AmunRha, Barla Abhishek, k1n0r4, Ad0lphus, retr0ds",Nil
n1ctf22-verify,reverse,"AmunRha, k1n0r4, Barla Abhishek, Ad0lphus, retr0ds",Nil
n1ctf22-webshell_detection,web,"Z_Pacifist, Aneesh, Lu513n, sk4d, Sayooj B Kumar, L0xm1, Av4nth1ka, alfin",Nil
n1ctf22-just_find_flag,misc,"Sabhya, Azr43lKn1ght, nandita sangeeth",2022-11-06 16:03:45.740000
n1ctf22-babychain,web,"Z_Pacifist, Av4nth1ka, alfin, L0xm1, Sayooj B Kumar, Aneesh, sk4d",Nil
