Challenge Name,Category,Solved/Attempted by,Solve time
omh21-panther,forensics,d3liri0us,2021-05-15 20:05:26.060000
omh21-almost,crypto,"Vishvesh, Majin",2021-05-15 17:29:07.018000
omh21-framed,pwn,"sourag, DarkKnight, Ritvik",2021-05-15 17:13:02.348000
omh21-little-pwnie,pwn,"Ritvik, DarkKnight, sourag, k1R4, arsenelupwn",2021-05-15 22:05:21.420000
omh21-notepad,web,"Sayooj B Kumar, Az3z3l",2021-05-15 20:46:10.843000
omh21-cups,pwn,"Ritvik, Nikhil, sourag, arsenelupwn, Pwn_Solo, k1R4, shravya, aDHIxx, DarkKnight",Nil
omh21-jamal,crypto,Majin,2021-05-15 18:11:53.160000
omh21-fiend,crypto,"Majin, Vishvesh",2021-05-15 20:16:53.918000
omh21-linkerchess,misc,"sourag, DarkKnight, Pwn_Solo, Ritvik",2021-05-16 00:05:49.439000
omh21-cryforhelp,crypto,"Majin, Vishvesh, aniketm_, Abhishek Bharadwaj, d3liri0us, Rithvik, chandu-kona, careless_finch, 2TAP, a3X3k, V0ld3m0rt",Nil
omh21-notepad2,web,"Az3z3l, Sayooj B Kumar, Aneesh, Sk4d00.sh, yadhu, Captain-kay, Rohit Narayanan M, careless_finch",Nil
omh21-remote,misc,"stuxn3t, Aneesh, g4rud4, Revathi chundi, Rohit Narayanan M, a3X3k, Goutham Rajesh, Sk4d00.sh, Srividhya, Barla Abhishek, Sampath, Aryaa, aDHIxx, shravya",Nil
omh21-screensaver,reverse,"silverf3lix, D3v1L, fugitive, Vishnu Madhav, Freakston, Barla Abhishek, Revathi chundi, AmunRha",Nil
omh21-turtul,misc,"f4lc0n, arsenelupwn, shravya, a3X3k",Nil
omh21-grub,reverse,"Freakston, Vishnu Madhav, Revathi chundi, AmunRha",Nil
omh21-codereview,web,"Rohit Narayanan M, Aneesh, Sk4d00.sh, yadhu, Sayooj B Kumar, Srividhya",Nil
