Challenge Name,Category,Solved/Attempted by,Solve time
osugamingctf-nathan-on-osu,['forensics'],"silence_, gh0stkn1ght, its_me_ask, j0dh7",2024-03-03 12:55:26.547000
osugamingctf-kfc-with-who,['osint'],b4tmite,2024-03-02 00:00:24.721000
osugamingctf-betterthanu,['pwn'],silence_,2024-03-02 00:00:42.162000
osugamingctf-sanity-check-1,['misc'],silence_,2024-03-02 00:01:45.055000
osugamingctf-discord,['misc'],b4tmite,2024-03-02 00:02:05.758000
osugamingctf-smoked,['misc'],silence_,2024-03-02 00:02:17.472000
osugamingctf-slidering-flag,['misc'],silence_,2024-03-02 00:02:34.258000
osugamingctf-sanity-check-2,['misc'],silence_,2024-03-02 00:02:53.495000
osugamingctf-infiltrating-the-osu,['misc'],b4tmite,2024-03-02 00:10:09.774000
osugamingctf-miss-analyzer,['pwn'],"silence_, _r0r1_",2024-03-02 13:42:51.518000
osugamingctf-base727,['crypto'],heartstoller,2024-03-02 00:14:02.269000
osugamingctf-osucrossword,['misc'],silence_,2024-03-02 02:01:24.064000
osugamingctf-mikufanpage,['web'],"k0w4lsk1_, r0h1t.pxh",2024-03-02 01:30:59.659000
osugamingctf-sanity-check-3,['misc'],silence_,2024-03-02 22:04:24.724000
osugamingctf-rossau,['crypto'],silence_,2024-03-02 02:59:54.241000
osugamingctf-sat-before-osu,['reverse'],silence_,2024-03-02 09:02:01.702000
osugamingctf-infiltrating-the-osu-ii,['misc'],silence_,2024-03-02 09:22:07.909000
osugamingctf-when-you-dont-see-it,['web'],"silence_, b4tmite",2024-03-02 20:56:28.204000
osugamingctf-korean_offline_mafia,['crypto'],"aerosol., ls.exe",2024-03-02 11:51:12.395000
osugamingctf-multi,['misc'],silence_,2024-03-02 11:52:09.949000
osugamingctf-no_dorchadas,['crypto'],ls.exe,2024-03-02 12:44:01.006000
osugamingctf-secret_map,['crypto'],"ls.exe, aerosol., silence_",2024-03-02 14:48:31.731000
osugamingctf-when_you_see_it,['misc'],"silence_, arch_zero, heartstoller",2024-03-02 15:44:45.646000
osugamingctf-hidden_in_the_play,['misc'],silence_,2024-03-02 15:16:58.520000
osugamingctf-profile-page,['web'],"alfin, luc_f3r, ma1f0y_, lu513n",2024-03-02 18:59:23.026000
osugamingctf-mappool-feedback,['osint'],silence_,2024-03-03 01:10:08.355000
osugamingctf-egg-pain,['misc'],"silence_, b4tmite, _r0r1_",2024-03-02 18:02:47.837000
osugamingctf-wysi_primes,['crypto'],"sans8475, silence_, aerosol., arch_zero, ls.exe, hisoka.fr",Nil
osugamingctf-osu-v8,['pwn'],"spektr.e, tourpran, silence_",Nil
osugamingctf-tillerino,['misc'],silence_,2024-03-03 15:01:57.335000
osugamingctf-stream-vs,['web'],"exigent07, k0w4lsk1_, r0h1t.pxh, silence_, alfin, luc_f3r, l0x.me, z_pacifist, lu513n, ma1f0y_",Nil
osugamingctf-time-traveller,['osint'],"silence_, heartstoller, aerosol.",Nil
osugamingctf-out_of_click,['forensics'],"silence_, its_me_ask",2024-03-03 18:32:13.781000
osugamingctf-abnormal,['forensics'],"silence_, its_me_ask",2024-03-03 19:45:01.463000
osugamingctf-out-of-slide,['forensics'],silence_,2024-03-03 19:02:00.056000
osugamingctf-wysi,['reverse'],"tricky_ninja, silence_",2024-03-03 19:44:12.299000
osugamingctf-volatile_map,['forensics'],"silence_, its_me_ask",2024-03-03 20:48:16.039000
osugamingctf-futsu,['misc'],"silence_, its_me_ask, heartstoller",Nil
