Challenge Name,Category,Solved/Attempted by,Solve time
plaidctf23-treasure_map,['reverse'],"Z_Pacifist, Aneesh, k1n0r4, Lu513n, retr0ds",2023-04-15 13:10:58.692000
plaidctf23-terrific_trigonometry_tutor,['misc'],"Z_Pacifist, spektre, Hisoka, alfin, Aneesh, LS",2023-04-15 20:22:05.979000
plaidctf23-collector,['pwn'],"k1R4, spektre, Z_Pacifist",Nil
plaidctf23-css,['reverse'],"Z_Pacifist, Aneesh, Lu513n, alfin, k1n0r4",2023-04-17 00:29:45.439000
plaidctf23-davy_jones_putlocker,['web'],"sk4d, Lu513n, Aneesh, alfin",2023-04-15 18:29:56.957000
plaidctf23-new_moon,['crypto'],"Hisoka, LS, Sans, victim1307, Abhishek Bharadwaj, d1sc0, APN, Lu513n",Nil
plaidctf23-davy_jones_putlocker2,['web'],"Lu513n, sk4d, Aneesh, alfin, Z_Pacifist, L0xm1, Az3z3l, ray9987, Sayooj B Kumar, yadhu",Nil
plaidctf23-babyheap,['pwn'],k1R4,2023-04-16 15:08:22.393000
plaidctf23-limfib-poetry,['misc'],"fr1gh7, Azr43lKn1ght, w3!rd5h4rk, L0xm1, k1R4, Z_Pacifist, rori, spektre",Nil
plaidctf23-just_the_check_please,['reverse'],"AmunRha, Ad0lphus, k1n0r4",Nil
