Challenge Name,Category,Solved/Attempted by,Solve time
redpwn21-annabel,misc,d3liri0us,2021-07-10 14:13:30.465000
redpwn21-beginner-generic-0,pwn,k1R4,2021-07-10 00:40:37.247000
redpwn21-blecc,crypto,Vishvesh,2021-07-10 00:52:19.446000
redpwn21-notes,web,Az3z3l,2021-07-11 22:06:27.626000
redpwn21-scissor,crypto,careless_finch,2021-07-10 00:53:11.330000
redpwn21-bases,crypto,Abhishek Bharadwaj,2021-07-10 00:53:27.530000
redpwn21-baby,crypto,careless_finch,2021-07-10 00:53:29.584000
redpwn21-ret2flag-reader,pwn,k1R4,2021-07-10 00:54:08.232000
redpwn21-wtjs,web,"careless_finch, Aneesh, Sk4d00.sh, Rohit Narayanan M, yadhu, Sayooj B Kumar, Az3z3l, Captain-kay",Nil
redpwn21-bread,reverse,AmunRha,2021-07-10 01:56:34.961000
redpwn21-ret2the-unknown,pwn,k1R4,2021-07-10 01:11:42.928000
redpwn21-cool,web,"Rohit Narayanan M, yadhu, Az3z3l, Captain-kay, careless_finch, Sk4d00.sh, Aneesh",2021-07-10 13:55:12.459000
redpwn21-substitution-game,misc,"g4rud4, d3liri0us, Sampath, a3X3k, Goutham, chandu-kona, Majin, Revathi chundi",Nil
redpwn21-dimensionality,reverse,"fugitive, Freakston, AmunRha, h4x5p4c3",2021-07-10 10:35:50.185000
redpwn21-quaternion-revenge,crypto,"Abhishek Bharadwaj, 2TAP, Rithvik, a3X3k, Vishvesh, Majin, careless_finch",Nil
redpwn21-pickled-onions,reverse,"Freakston, fugitive, 4d0lphu5, D3v1L, Vishnu Madhav, Barla Abhishek, AmunRha",Nil
redpwn21-2k,reverse,"AmunRha, Freakston, Barla Abhishek",2021-07-12 02:40:55.644000
redpwn21-simult,pwn,"sourag, Pwn_Solo, DarkKnight, arsenelupwn, k1R4, Nikhil, Ritvik",Nil
redpwn21-gelcode-2,pwn,"k1R4, Ritvik, sourag, Nikhil, Pwn_Solo, arsenelupwn",Nil
redpwn21-yahtzee,crypto,Majin,2021-07-10 17:18:29.680000
redpwn21-elgs,crypto,Majin,2021-07-11 00:24:07.719000
redpwn21-lzyadm,web,"Captain-kay, Aneesh, Rohit Narayanan M, Az3z3l, Sk4d00.sh, yadhu, Sayooj B Kumar",Nil
redpwn21-image,pwn,"DarkKnight, Ritvik, sourag, Pwn_Solo",2021-07-11 19:15:13.332000
redpwn21-kotf,crypto,"Abhishek Bharadwaj, Majin, careless_finch, Rithvik, Vishvesh, chandu-kona",Nil
redpwn21-requester,web,"Aneesh, Rohit Narayanan M, Captain-kay, Sk4d00.sh",2021-07-12 12:11:26.436000
redpwn21-pastebin2,web,"Az3z3l, Aneesh, Sk4d00.sh, Rohit Narayanan M, Sayooj B Kumar, yadhu, careless_finch, Captain-kay",Nil
redpwn21-requester2,web,"Aneesh, Sk4d00.sh, Rohit Narayanan M, Az3z3l, Captain-kay, careless_finch",Nil
