Challenge Name,Category,Solved/Attempted by,Solve time
sctf-checkin,['web'],"Lu513n, sk4d, Aneesh, z_pacifist",2023-06-17 21:48:15.474000
sctf-syclang,['reverse'],"AmunRha, retr0ds, k1n0r4",Nil
sctf-digital_circuit_learning,['reverse'],"AmunRha, retr0ds, k1n0r4",Nil
sctf-fumo_backdoor,['web'],"Aneesh, Lu513n, z_pacifist, Av4nth1ka, L0xm1, sk4d, alfin",Nil
sctf-ancient_cgi,['pwn'],"AmunRha, k1R4, z_pacifist, spektre, fr1gh7, tourpran, rori",Nil
sctf-brave_knights,['pwn'],"AmunRha, k1R4, fr1gh7, spektre, tourpran, rori",Nil
sctf-barter,['crypto'],"ls.exe, Hisoka",2023-06-17 21:53:27.150000
sctf-compiler,['pwn'],"AmunRha, k1R4, fr1gh7, tourpran, rori",Nil
sctf-genshin_impact,['misc'],"Aneesh, w3!RD5h4rk, z_pacifist, tourpran, rori, L0xm1, spektre, Hisoka, Jl, Azr43lKn1ght, ls.exe",Nil
sctf-damn_brackets,['misc'],"Aneesh, spektre, tourpran, rori",Nil
sctf-sycrop,['pwn'],"AmunRha, k1R4, fr1gh7, tourpran, rori",Nil
sctf-an4er_monitor,['web'],"Aneesh, Lu513n, z_pacifist, Av4nth1ka, L0xm1, sk4d",Nil
sctf-全频带阻塞干扰,['crypto'],"Aneesh, ls.exe, Hisoka, Sans, APN, dhN, spektre",Nil
sctf-checkin-misc,['misc'],"z_pacifist, spektre, tourpran",2023-06-17 19:01:39.662000
sctf-math_forbidden,['crypto'],"spektre, Hisoka, ls.exe",Nil
