Challenge Name,Category,Solved/Attempted by,Solve time
seccon21-vulnerabilities,web,Az3z3l,2021-12-12 10:06:23.781000
seccon21-avgcalculator,pwn,"k1R4, DarkKnight",2021-12-11 13:20:49.662000
seccon21-script_gi,misc,"P4BLØ, a3x3k, rayst4rk, Chetak, d3liri0us, v1Ru5, careless_finch, aDHIxx, AmunRha, Ad0lphus, Rohit Narayanan M",Nil
seccon21-pppp,crypto,"careless_finch, Nilabha",2021-12-11 12:37:23.322000
seccon21-corruptedflag,reverse,"fug1t1ve, AmunRha",2021-12-11 21:23:01.257000
seccon21-kasu_bof,pwn,DarkKnight,2021-12-11 12:01:50.301000
seccon21-pyast,pwn,DarkKnight,2021-12-12 03:55:02.555000
seccon21-gosu_bof,pwn,"aDHIxx, k1R4, Ritvik, shravya, DarkKnight, Pwn_Solo, Nikhil",Nil
seccon21-hitchhike,misc,"v1Ru5, d3liri0us, a3x3k, k1R4, rayst4rk, Abhishek Bharadwaj, AmunRha, Chetak, P4BLØ, careless_finch",Nil
seccon21-ccc,crypto,"Pavani, careless_finch, Vishvesh_R, Abhishek Bharadwaj, Nilabha",Nil
seccon21-oooooo,crypto,"Nilabha, careless_finch, Pavani, Abhishek Bharadwaj, Vishvesh_R",Nil
seccon21-constellations,reverse,"AmunRha, Ad0lphus, fug1t1ve, imm0rt4l_5t4rk, Barla Abhishek",Nil
seccon21-saas1,web,"Sk4d00.sh, Rohit Narayanan M, yadhu, Az3z3l, Aneesh, Cap-k",Nil
