Challenge Name,Category,Solved/Attempted by,Solve time
securinets23-ttsign,['crypto'],"dhn5280, ___apn___, Sans, 0xd15c0",Nil
securinets23-0_csp,['web'],"lu513n, ma1f0y_, win.ters, luc_f3r, az3z3l, Cap-k",2023-08-06 21:22:44.885000
securinets23-pinder,['web'],"lu513n, ma1f0y_, win.ters, luc_f3r",2023-08-06 02:46:09.252000
securinets23-farfour_post_quantom,['crypto'],"dhn5280, ___apn___, 0xd15c0, Sans, lu513n",Nil
securinets23-the_betrayers,['forensics'],"azr43lkn1ght, gh0stkn1ght, jl911, stuxn3t, _b1u33, sp3p3x, sh.4rk, g4rud4",Nil
securinets23-ret2libc,['pwn'],tourpran,2023-08-06 05:50:34.973000
securinets23-jackpot,['forensics'],"azr43lkn1ght, gh0stkn1ght, stuxn3t, _b1u33, jl911, sp3p3x, sh.4rk, g4rud4",Nil
securinets23-tomojiski,['reverse'],"amunrha, the_mechanic__, shinobu5005",2023-08-06 19:32:11.592000
securinets23-polylcg,['crypto'],"Sans, dhn5280, ___apn___, 0xd15c0, jarvis",2023-08-06 00:36:49.153000
securinets23-farfour_postquantum,['crypto'],Sans,Nil
securinets23-digestivev2,['crypto'],"Sans, dhn5280, ls.exe, hisoka.fr, 0xd15c0, ___apn___, victim1307, lu513n",Nil
securinets23-admin-service,['pwn'],justk1r4,2023-08-06 23:31:26.996000
securinets23-swix,['pwn'],"justk1r4, tourpran, spektr.e, _r0r1_, fr1gh7, lu513n",Nil
securinets23-navigator,['reverse'],"the_mechanic__, retr0ds, drunknb0tch",Nil
securinets23-raf_hide,['misc'],"win.ters, lu513n, sh.4rk, azr43lkn1ght",Nil
securinets23-mark4archive,['web'],"lu513n, ma1f0y_, win.ters, luc_f3r, z_pacifist",Nil
securinets23-one_is_enough,['pwn'],_r0r1_,2023-08-06 11:30:41.399000
securinets23-execute_as_a_service,['pwn'],"tourpran, justk1r4, ath3n1x, spektr.e, amunrha, win.ters, _r0r1_, lu513n, Cap-k",Nil
securinets23-dajinvm,['reverse'],"sherlockcheezu, amunrha, retr0ds, ad0lphus, shinobu5005, lu513n, the_mechanic__",Nil
securinets23-giancardi_bank,['web'],"win.ters, luc_f3r, ma1f0y_, lu513n",Nil
