Challenge Name,Category,Solved/Attempted by,Solve time
securinetsquals22-mal,forensics,"a3x3k, P4BLØ, Sabhya, Azr43lKn1ght, nandita sangeeth, v1Ru5, imm0rt4l_5t4rk, d3liri0us, shravya, Ad0lphus, rayst4rk, Chetak, careless_finch, Aneesh, swetaa ajit",Nil
securinetsquals22-planetsheet,web,"Rohit Narayanan M, L0xmii, Z_Pacifist, careless_finch, Aneesh, Sk4d00sh, Sayooj B Kumar, Az3z3l, alfin, yadhu, 7h3M0nk",Nil
securinetsquals22-brokenparrot,web,"Rohit Narayanan M, L0xmii, Z_Pacifist, Aneesh, Sk4d00sh, Sayooj B Kumar, yadhu, Ad0lphus, careless_finch",Nil
securinetsquals22-ftp,pwn,DarkKnight,2022-04-10 15:40:33.226000
securinetsquals22-welc,pwn,shravya,2022-04-10 15:41:27.984000
securinetsquals22-escrime,crypto,careless_finch,2022-04-10 02:13:10.944000
securinetsquals22-shellcraft,pwn,"DarkKnight, Pwn_Solo, shravya",2022-04-10 15:40:47.240000
securinetsquals22-whale,forensics,"g4rud4, careless_finch",2022-04-10 12:15:49.182000
securinetsquals22-documentconverter,web,"Z_Pacifist, Aneesh, Rohit Narayanan M, Sk4d00sh",2022-04-10 10:55:57.773000
securinetsquals22-sherry,crypto,"Vishvesh_R, careless_finch, Rees, Mrinalini, Abhishek Bharadwaj, LS, Pavani",Nil
securinetsquals22-sora,reverse,"Ad0lphus, Revathi, imm0rt4l_5t4rk, kim_chi, Barla Abhishek, AmunRha",Nil
securinetsquals22-eniptx,reverse,"Revathi, Barla Abhishek, kim_chi, AmunRha, imm0rt4l_5t4rk, Ad0lphus",Nil
securinetsquals22-memory,pwn,DarkKnight,2022-04-10 15:40:37.929000
securinetsquals22-blob,pwn,"Pwn_Solo, Ritvik, k1R4, DarkKnight, shravya, spektre",Nil
securinetsquals22-dot,reverse,"fug1t1ve, Barla Abhishek, imm0rt4l_5t4rk",2022-04-10 18:03:59.702000
securinetsquals22-matrand,crypto,"Pavani, Mrinalini, Rees, Abhishek Bharadwaj, LS, careless_finch, chandu-kona",Nil
securinetsquals22-greatempire,misc,"yadhu, 7h3M0nk, Rohit Narayanan M, Sk4d00sh, Aneesh",2022-04-10 13:14:33.678000
securinetsquals22-aes2,crypto,"Pavani, Abhishek Bharadwaj, careless_finch, Vishvesh_R, Mrinalini, Rees, LS, chandu-kona",Nil
securinetsquals22-narutokeeper,web,"yadhu, Aneesh, yadhu",2022-04-10 17:55:33.274000
