Challenge Name,Category,Solved/Attempted by,Solve time
seetf23-decompme,['reverse'],"th3mech4n1c, k1n0r4, Sherlock Cheezu",2023-06-10 11:05:15.835000
seetf23-express_javascript_security,['web'],"Aneesh, Winters",2023-06-10 12:32:41.121000
seetf23-1337_word_search,['misc'],LS,2023-06-10 15:56:55.915000
seetf23-android_zoo,['misc'],w3!RD5h4rk,2023-06-10 21:29:48.891000
seetf23-mmap-note,['pwn'],"rori, tourpran",2023-06-10 17:41:56.383000
seetf23-shellcode_as_a_service,['pwn'],"k1R4, fr1gh7, spektre",2023-06-10 19:41:27.922000
seetf23-linear,['reverse'],"th3mech4n1c, Sherlock Cheezu",Nil
seetf23-romeo_and_juliet,['crypto'],"d1sc0, Sans",Nil
seetf23-acrophobia,['misc'],"sp3p3x, gh0stkn1ght, Jl, w3!RD5h4rk, Azr43lKn1ght, B1u33, fr1gh7",Nil
seetf23-great-expectations,['pwn'],k1R4,2023-06-10 13:10:39.543000
seetf23-babyrc4,['crypto'],APN,2023-06-10 11:19:01.283000
seetf23-dumb_chall,['crypto'],"LS, Hisoka",2023-06-10 14:07:50.204000
seetf23-woodchecker,['reverse'],"retr0ds, k1n0r4, th3mech4n1c, shinobu",2023-06-10 17:18:45.846000
seetf23-cstutorial,['pwn'],"spektre, k1R4, fr1gh7, tourpran, rori",Nil
seetf23-plantuml,['web'],"Aneesh, L0xm1, Z_Pacifist, Av4nth1ka, Lu513n, Winters, sk4d, yadhu",Nil
seetf23-sourceful,['web'],"Aneesh, L0xm1, Z_Pacifist, Winters, Av4nth1ka, Lu513n, sk4d",Nil
seetf23-compme,['reverse'],"Sherlock Cheezu, AmunRha",Nil
seetf23-semaphore,['crypto'],"Sans, APN",Nil
seetf23-onlinecrypto,['crypto'],"Sans, LS, Hisoka, k1R4, spektre, APN, tourpran",Nil
seetf23-shard,['crypto'],Sans,Nil
seetf23-isogeny_maze,['crypto'],Sans,Nil
seetf23-non-neutrality,['crypto'],Sans,Nil
seetf23-no-subbox,['crypto'],Sans,Nil
seetf23-hard_to_write,['crypto'],Sans,Nil
seetf23-babysheep,['pwn'],k1R4,2023-06-10 16:48:44.536000
seetf23-malware_here,['web'],"Winters, sk4d, Av4nth1ka, L0xm1, Z_Pacifist",Nil
seetf23-nocode,['misc'],LS,2023-06-10 16:16:49.479000
seetf23-福,['web'],"Winters, Lu513n, Z_Pacifist, Aneesh, sk4d, yadhu, Av4nth1ka, L0xm1",Nil
seetf23-notes,['web'],"Lu513n, Aneesh, sk4d, yadhu, Av4nth1ka, L0xm1, Z_Pacifist",Nil
seetf23-dsa,['reverse'],"retr0ds, k1n0r4, th3mech4n1c, Sherlock Cheezu, AmunRha",Nil
seetf23-open_ended_rsa,['crypto'],Sans,2023-06-11 11:43:05.817000
seetf23-qskates,['crypto'],Sans,Nil
seetf23-fileuploader1,['web'],"Aneesh, L0xm1, Av4nth1ka, Z_Pacifist, Winters",Nil
seetf23-word-search2,['misc'],"k1R4, LS",Nil
seetf23-dig_your_ears,['misc'],"LS, k1R4",2023-06-11 16:55:07.849000
seetf23-sleight-of-hand,['reverse'],"retr0ds, k1n0r4",2023-06-11 19:07:12.164000
