Challenge Name,Category,Solved/Attempted by,Solve time
tctf21-vp,reverse,"AmunRha, DarkKnight, Freakston, silverf3lix, D3v1L, fugitive, R3x, 4d0lphu5",2021-07-04 21:20:06.474000
tctf21-ucbaby,misc,"f4lc0n, a3X3k, Goutham, Sampath, Ary, v1Ru5, shravya, Majin, d3liri0us, Vishvesh, sourag, DarkKnight, Ritvik, Freakston",Nil
tctf21-onelinephp,web,"yadhu, Sk4d00.sh, a3X3k, Sayooj B Kumar, Aneesh, Rohit Narayanan M, Az3z3l, Captain-kay, Aiswarya, careless_finch",Nil
tctf21-checkin,crypto,Vishvesh,2021-07-03 11:44:11.130000
tctf21-listbook,pwn,"DarkKnight, sourag, Ritvik",2021-07-03 17:31:09.132000
tctf21-storage,pwn,"Ritvik, arsenelupwn, shravya, sourag, Pwn_Solo, Nikhil, k1R4, aDHIxx, DarkKnight",Nil
tctf21-collision,pwn,"arsenelupwn, sourag, Ritvik, Pwn_Solo, k1R4, Nikhil, aDHIxx, DarkKnight",Nil
tctf21-0xstream,web,"Az3z3l, Sayooj B Kumar, yadhu, Sk4d00.sh, Captain-kay, Rohit Narayanan M, Aneesh, Aiswarya",Nil
tctf21-lfsr,crypto,"Majin, Abhishek Bharadwaj, Vishvesh, Pavani Poluru, Rithvik, V0ld3m0rt, ph03n1x, careless_finch, 2TAP",Nil
tctf21-pypypypy,misc,"d3liri0us, Ary, Sampath, Goutham, shravya",Nil
tctf21-lamb,reverse,"Freakston, V0ld3m0rt, AmunRha, 4d0lphu5, Barla Abhishek, D3v1L, Vishnu Madhav",Nil
tctf21-share,misc,"f4lc0n, careless_finch, Az3z3l, yadhu, Rohit Narayanan M, Sayooj B Kumar, Captain-kay, Aiswarya, Aneesh, Sk4d00.sh",Nil
tctf21-fea,reverse,"Barla Abhishek, D3v1L, Freakston, Vishnu Madhav, 4d0lphu5, AmunRha, imm0rt4l_5t4rk, bl4ck_Widw",Nil
tctf21-worldcup,web,"Az3z3l, Sayooj B Kumar, Rohit Narayanan M, Aneesh, yadhu, Sk4d00.sh, careless_finch, Aiswarya, Captain-kay",Nil
tctf21-ucmaster,pwn,"DarkKnight, Ritvik",2021-07-04 12:43:53.623000
tctf21-guthib,misc,"f4lc0n, careless_finch, Abhishek Bharadwaj, aDHIxx, Aneesh, Sk4d00.sh, Sampath, Rithvik, Ary, Rohit Narayanan M, Pavani Poluru, Freakston, Goutham, v1Ru5, Vishvesh, AmunRha, d3liri0us",Nil
tctf21-gasmachine,misc,f4lc0n,Nil
tctf21-mutate,pwn,"Pwn_Solo, DarkKnight, aDHIxx, arsenelupwn, Nikhil, k1R4, shravya, Ritvik",Nil
tctf21-ucgood,pwn,"Ritvik, DarkKnight, sourag, arsenelupwn",Nil
tctf21-babyheap,pwn,"sourag, DarkKnight, Ritvik, Nikhil, Pwn_Solo, arsenelupwn",Nil
