Challenge Name,Category,Solved/Attempted by,Solve time
thesascon24-foreground,['forensics'],"azr43lkn1ght, 5h4rrk, kr4z31n, __m1m1__, sp3p3x, hrippi.x_, gh0stkn1ght, rudraagh, jl_24",Nil
thesascon24-voblatales,['stego'],"kr4z31n, __m1m1__, sp3p3x, hrippi.x_, gh0stkn1ght, rudraagh, jl_24, 5h4rrk, h3ri0s",Nil
thesascon24-drovosec,['misc'],"sans8475, heartstoller",Nil
thesascon24-turings_gold_nugget,['misc'],"sans8475, jatin.exe, lu513n, jl_24, silence_, heartstoller, _r0r1_, k0w4lzk1, ma1f0y_, exigent07, h3ri0s",Nil
thesascon24-ebin,['reverse'],"retr0ds, sherlockcheezu, tricky_ninja",Nil
thesascon24-minotaurs-guest,['misc'],"justk1r4, silence_",2024-05-18 20:02:15.972000
thesascon24-parkour-school,['misc'],"justk1r4, silence_",2024-05-18 20:52:42.053000
thesascon24-signed-message,['misc'],"justk1r4, silence_, heartstoller",2024-05-19 00:29:13.302000
thesascon24-petushok,['misc'],"kr4z31n, rudraagh, __m1m1__, h3ri0s, arch_zero, k0w4lzk1, heartstoller, silence_, kndn, exigent07",Nil
thesascon24-download_moment,['web'],"luc_f3r, winters0x168, ma1f0y_, lu513n, k0w4lzk1, h3ri0s, exigent07",Nil
thesascon24-lignohakisto,['misc'],"heartstoller, silence_",Nil
thesascon24-ubercaged,['pwn'],"tourpran, justk1r4, spektr.e",2024-05-19 17:07:51.495000
thesascon24-chipi-chipi-chapa-chapa,['forensics'],"__m1m1__, 5h4rrk, silence_, heartstoller, kr4z31n, arch_zero, jl_24, azr43lkn1ght, gh0stkn1ght, hrippi.x_",Nil
thesascon24-ck0p0-ctyxhet,['reverse'],"tricky_ninja, kndn, exigent07, h3ri0s, retr0ds, sherlockcheezu",Nil
thesascon24-bad_old_days,['web'],"alfin3313, ma1f0y_, luc_f3r",2024-05-19 17:28:32.256000
