Challenge Name,Category,Solved/Attempted by,Solve time
umd22-goaway,reverse,"Reeve, AmunRha, Ad0lphus, Barla Abhishek, Retr0ds, imm0rt4l_5t4rk, Sejal_k",Nil
umd22-tiny,reverse,"AmunRha, fug1t1ve",2022-03-05 13:41:36.075000
umd22-customer,web,"Rohit Narayanan M, Aneesh",2022-03-05 09:13:36.401000
umd22-renzik,forensics,P4BLØ,2022-03-05 09:26:54.071000
umd22-xorua,forensics,P4BLØ,2022-03-05 09:43:40.979000
umd22-blue,forensics,Rohit Narayanan M,2022-03-05 10:15:54.817000
umd22-vigenerexor,crypto,careless_finch,2022-03-05 12:18:45.050000
umd22-mtp,crypto,Abhishek Bharadwaj,2022-03-05 10:57:58.983000
umd22-trace,pwn,"DarkKnight, k1R4, NightKing",2022-03-06 17:10:24.931000
umd22-snowden,crypto,careless_finch,2022-03-05 11:24:49.560000
umd22-breakdance,forensics,P4BLØ,2022-03-05 11:38:40.758000
umd22-magic_plagueis,forensics,P4BLØ,2022-03-05 13:30:53.510000
umd22-show,pwn,k1R4,2022-03-05 18:46:53.746000
umd22-justina,misc,"Z_Pacifist, L0xmii",2022-03-05 12:51:29.639000
umd22-dragonpit,reverse,Barla Abhishek,2022-03-05 13:43:34.781000
umd22-trainfck,reverse,"AmunRha, LS",2022-03-05 17:34:14.411000
umd22-rsi,misc,"Sk4d00.sh, AmunRha, Aneesh, Rohit Narayanan M, careless_finch",2022-03-05 21:15:17.547000
umd22-gqrx,misc,cjunior,2022-03-05 18:18:39.221000
umd22-pitrojan,reverse,"fug1t1ve, Hyperi0n, AmunRha, Reeve",Nil
umd22-blockchain1,misc,"Rohit Narayanan M, Aneesh, careless_finch",2022-03-05 19:26:25.735000
umd22-jdata,forensics,"Rohit Narayanan M, Aneesh, P4BLØ",2022-03-06 12:29:56.718000
umd22-outdoors1,misc,"AmunRha, careless_finch, Aneesh, Sk4d00.sh, Rohit Narayanan M",2022-03-05 22:22:14.043000
umd22-outdoors2,misc,"AmunRha, k1R4, careless_finch, Sk4d00.sh, Rohit Narayanan M, Aneesh",2022-03-05 22:40:38.778000
umd22-still_cruisin,forensics,"Aneesh, P4BLØ, Sabhya",2022-03-06 18:12:40.808000
umd22-blockchain2,misc,Rohit Narayanan M,2022-03-06 00:46:58.301000
umd22-legacy,pwn,careless_finch,2022-03-06 02:12:47.736000
umd22-ketchup,misc,careless_finch,2022-03-06 03:04:06.564000
umd22-class-project,forensics,careless_finch,2022-03-06 03:21:55.479000
umd22-simplecalc,web,"Aneesh, Rohit Narayanan M, Sk4d00.sh",2022-03-06 10:12:44.628000
umd22-kernal_infernal_1,forensics,"d3liri0us, a3x3k, P4BLØ, rayst4rk, Azr43lKn1ght, Sabhya",Nil
umd22-classicact,pwn,"k1R4, spektre",2022-03-06 12:57:50.232000
umd22-minetest,misc,"Rohit Narayanan M, Aneesh",2022-03-06 11:06:19.585000
umd22-mux,misc,"Rohit Narayanan M, Aneesh",2022-03-06 11:50:17.919000
umd22-bongo_cat,misc,"Rohit Narayanan M, Aneesh, Sk4d00.sh",Nil
umd22-squarsa,crypto,"careless_finch, Rees, P4BLØ, Aneesh, Rohit Narayanan M, a3x3k, Mrinalini, Sk4d00.sh, Abhishek Bharadwaj, LS",Nil
umd22-fnk,pwn,"k1R4, spektre, NightKing, aDHIxx",Nil
