Challenge Name,Category,Solved/Attempted by,Solve time
vikectf24-deep_cover,['crypto'],silence_,2024-03-09 06:04:22.594000
vikectf24-norse_cryptogram,['crypto'],"its_me_ask, b4tmite, aerosol., j0dh7, heartstoller, silence_",2024-03-09 11:59:33.774000
vikectf24-ponies,['web'],silence_,2024-03-09 06:21:20.640000
vikectf24-the_usual,['pwn'],"_r0r1_, silence_",2024-03-09 08:03:46.108000
vikectf24-hidden_valor,['misc'],"its_me_ask, heartstoller, j0dh7",2024-03-09 10:41:36.773000
vikectf24-vikemerch,['web'],"k0w4lsk1_, r0h1t.pxh, exigent07, ma1f0y_, silence_, luc_f3r, alfin, z_pacifist, avntka, lu513n, sk4d",Nil
vikectf24-time_to_add,['misc'],"j0dh7, jl_24, gh0stkn1ght, its_me_ask, heartstoller, b4tmite, justk1r4, silence_, aerosol.",Nil
vikectf24-robo_erik,['misc'],"its_me_ask, j0dh7, jl_24, gh0stkn1ght, 5h4rrk, heartstoller, b4tmite, _r0r1_, sp3p3x, justk1r4, aerosol., silence_",Nil
vikectf24-hidden_treasure,['misc'],"j0dh7, its_me_ask, silence_, azr43lkn1ght, jl_24, gh0stkn1ght, 5h4rrk, justk1r4, sp3p3x, __m1m1__",Nil
vikectf24-quantum_keygen_quest,['crypto'],aerosol.,2024-03-09 12:38:46.314000
vikectf24-blackjack,['reverse'],"b4tmite, heartstoller, silence_, aerosol., its_me_ask, j0dh7, sherlockcheezu, justk1r4, k1n0r4",Nil
vikectf24-moviedb,['web'],"r0h1t.pxh, exigent07, k0w4lsk1_",2024-03-09 16:20:18.633000
vikectf24-jarls,['web'],"k0w4lsk1_, luc_f3r, ma1f0y_, alfin, exigent07, r0h1t.pxh, z_pacifist, avntka, lu513n, sayoojbkumar, sk4d",Nil
