Challenge Name,Category,Solved/Attempted by,Solve time
volgaquals21-staticsite,web,"Az3z3l, yadhuz, Rohit Narayanan M, Aneesh nadh R, Aiswarya, Sk4d00.sh, Rithvik, Captain-kay, Srividhya, careless_finch, Sayooj_B_Kumar",Nil
volgaquals21-qrcodebook,crypto,"d3liri0us, aniketm_",2021-03-28 16:57:15.526000
volgaquals21-snake,reverse,"D3v1L, AmunRha, Freakston, fugitive, Vishnu Madhav, imm0rt4l_5t4rk, Nikhil, bl4ck_Widw, R3x, dhr33ti, d3xt3r, 4lex1, akulpillai",Nil
volgaquals21-chosen-ones,misc,"g4rud4, v1Ru5, f4lc0n, d3liri0us, Goutham Rajesh",Nil
volgaquals21-knock-knock,crypto,"aniketm_, d3liri0us",2021-03-28 04:33:50.908000
volgaquals21-carry,crypto,"ph03n1x, careless_finch, Majin",Nil
volgaquals21-wallet,web,"Captain-kay, yadhuz, Az3z3l",2021-03-27 20:23:12.611000
volgaquals21-jwt,web,"careless_finch, Captain-kay, Az3z3l",2021-03-27 21:15:52.481000
volgaquals21-jws,web,"Az3z3l, yadhuz, careless_finch, Captain-kay, Aneesh nadh R, Sayooj_B_Kumar, Rohit Narayanan M, Srividhya, Rithvik, Aiswarya, Sk4d00.sh",Nil
volgaquals21-flask,web,"careless_finch, Sayooj_B_Kumar",2021-03-28 19:23:54.427000
volgaquals21-unicorn,web,"Az3z3l, yadhuz, Sayooj_B_Kumar, Captain-kay, Aneesh nadh R, Srividhya, careless_finch, Aiswarya, Rohit Narayanan M, Rithvik, Sk4d00.sh",Nil
volgaquals21-streams,misc,"f4lc0n, Goutham Rajesh, g4rud4, d3liri0us",Nil
volgaquals21-penny,pwn,"Ritvik, DarkKnight",2021-03-28 12:12:02.047000
